Driver	Constructor	Laps	Time/Retired	Grid
Ralf Schumacher	Williams - BMW	62	1:30:44.817	3
David Coulthard	McLaren - Mercedes	62	+4.352	1
Rubens Barrichello	Ferrari	62	+34.766	6
Mika Häkkinen	McLaren - Mercedes	62	+36.315	2
Jarno Trulli	Jordan - Honda	62	+1:25.558	5
Heinz-Harald Frentzen	Jordan - Honda	61	+1 Lap	9
Nick Heidfeld	Sauber - Petronas	61	+1 Lap	12
Olivier Panis	BAR - Honda	61	+1 Lap	8
Jean Alesi	Prost - Acer	61	+1 Lap	14
Enrique Bernoldi	Arrows - Asiatech	60	+2 Laps	16
Luciano Burti	Jaguar - Cosworth	60	+2 Laps	15
Jenson Button	Benetton - Renault	60	+2 Laps	21
Tarso Marques	Minardi - European	50	Engine	22
Juan Pablo Montoya	Williams - BMW	48	Clutch	7
Eddie Irvine	Jaguar - Cosworth	42	Engine	13
Giancarlo Fisichella	Benetton - Renault	31	Engine	19
Jacques Villeneuve	BAR - Honda	30	Engine	11
Gastón Mazzacane	Prost - Acer	28	Engine	20
Michael Schumacher	Ferrari	24	Suspension	4
Kimi Räikkönen	Sauber - Petronas	17	Steering	10
Jos Verstappen	Arrows - Asiatech	6	Exhaust	17
Fernando Alonso	Minardi - European	5	Brakes	18
