Date	Opponent	Score	Loss	Attendance	Record
April 4	@ Orioles	7 - 2	Martínez (0-1)	47,683	0-1
April 6	@ Orioles	4 - 1	DuBose (0-1)	35,355	1-1
April 7	@ Orioles	10 - 3	Ainsworth (0-1)	28,373	2-1
April 8	@ Orioles	3 - 2 (13)	Jones	31,121	2-2
April 9	Blue Jays	10 - 5	Timlin (0-1)	34,337	2-3
April 10	Blue Jays	4 - 1	Halladay (0-2)	35,305	3-3
April 11	Blue Jays	6 - 4 (12)	López (0-1)	34,286	4-3
April 13	Orioles	Postponed (rain) Rescheduled for May 31	Postponed (rain) Rescheduled for May 31	Postponed (rain) Rescheduled for May 31	Postponed (rain) Rescheduled for May 31
April 14	Orioles	Postponed (rain) Rescheduled for July 22	Postponed (rain) Rescheduled for July 22	Postponed (rain) Rescheduled for July 22	Postponed (rain) Rescheduled for July 22
April 15	Orioles	12 - 7 (11)	Arroyo (0-1)	35,271	4-4
April 16	Yankees	6 - 2	Vázquez (1-1)	35,163	5-4
April 17	Yankees	5 - 2	Mussina (1-3)	35,023	6-4
April 18	Yankees	7 - 3 (10)	Lowe (1-1)	35,011	6-5
April 19	Yankees	5 - 4	Gordon (0-1)	35,027	7-5
April 20	@ Blue Jays	4 - 2	Halladay (1-3)	26,010	8-5
April 21	@ Blue Jays	4 - 2	Lilly (0-2)	16,163	9-5
April 22	@ Blue Jays	7 - 3	Schilling (2-1)	16,480	9-6
April 23	@ Yankees	11 - 2	Contreras (0-2)	55,001	10-6
April 24	@ Yankees	3 - 2 (12)	Quantrill (2-1)	55,195	11-6
April 25	@ Yankees	2 - 0	Vázquez (2-2)	55,338	12-6
April 27	Devil Rays	Postponed (rain) Rescheduled for April 29	Postponed (rain) Rescheduled for April 29	Postponed (rain) Rescheduled for April 29	Postponed (rain) Rescheduled for April 29
April 28	Devil Rays	6 - 0	Abbott (2-2)	35,120	13-6
April 29	Devil Rays	4 - 0	Zambrano (3-2)	35,614	14-6
April 29	Devil Rays	7 - 3	Moss (0-1)	35,441	15-6
April 30	@ Rangers	Postponed (rain) Rescheduled for May 1	Postponed (rain) Rescheduled for May 1	Postponed (rain) Rescheduled for May 1	Postponed (rain) Rescheduled for May 1
