Stage	Winner	General classification	Points classification	Mountains classification	Trofeo Fast Team
P	Alex Zülle	Alex Zülle	no award	no award	Mapei-Bricobi
1	Mariano Piccoli	Alex Zülle	Mariano Piccoli	Marzio Bruseghin	Mapei-Bricobi
2	Ángel Edo	Alex Zülle	Mariano Piccoli	Marzio Bruseghin	Mapei-Bricobi
3	Nicola Minali	Serhiy Honchar	Mariano Piccoli	Paolo Bettini	Mapei-Bricobi
4	Nicola Miceli	Serhiy Honchar	Mariano Piccoli	Paolo Bettini	Mapei-Bricobi
5	Mario Cipollini	Michele Bartoli	Michele Bartoli	Alex Zülle	Mapei-Bricobi
6	Alex Zülle	Alex Zülle	Michele Bartoli	Paolo Bettini	Team Polti
7	Mario Cipollini	Alex Zülle	Michele Bartoli	Paolo Bettini	Team Polti
8	Mario Cipollini	Alex Zülle	Michele Bartoli	Paolo Bettini	Team Polti
9	Glenn Magnusson	Alex Zülle	Michele Bartoli	Paolo Bettini	Team Polti
10	Mario Cipollini	Alex Zülle	Michele Bartoli	Paolo Bettini	Team Polti
11	Andrea Noè	Alex Zülle	Michele Bartoli	Paolo Bettini	Team Polti
12	Laurent Roux	Laurent Roux	Michele Bartoli	Paolo Bettini	Team Polti
13	Michele Bartoli	Andrea Noè	Michele Bartoli	Paolo Bettini	Team Polti
14	Marco Pantani	Alex Zülle	Michele Bartoli	Marco Pantani	Team Polti
15	Alex Zülle	Alex Zülle	Michele Bartoli	Marco Pantani	Mapei-Bricobi
16	Fabiano Fontanelli	Alex Zülle	Michele Bartoli	Marco Pantani	Team Polti
17	Giuseppe Guerini	Marco Pantani	Mariano Piccoli	Marco Pantani	Mercatone Uno-Bianchi
18	Pavel Tonkov	Marco Pantani	Mariano Piccoli	Marco Pantani	Mercatone Uno-Bianchi
19	Marco Pantani	Marco Pantani	Mariano Piccoli	Marco Pantani	Mapei-Bricobi
20	Gian Matteo Fagnini	Marco Pantani	Mariano Piccoli	Marco Pantani	Mapei-Bricobi
21	Serhiy Honchar	Marco Pantani	Mariano Piccoli	Marco Pantani	Mapei-Bricobi
22	Gian Matteo Fagnini	Marco Pantani	Mariano Piccoli	Marco Pantani	Mapei-Bricobi
Final	Final	Marco Pantani	Mariano Piccoli	Marco Pantani	Mapei-Bricobi
