Tournament	Surface	Week	Winners	Finalists	Semifinalists
Indian Wells	Hard	March 10	Ferreira / Kafelnikov 3–6, 7–5, 6–4	Bryan / Byran	Paes / Rikl Björkman / Woodbridge
Miami	Hard	March 17	Federer / Mirnyi 7–5, 6–3	Paes / Rikl	González / Robredo Bryan / Byran
Monte Carlo	Clay	April 14	Bhupathi / Mirnyi 6–4, 3–6, 7–6(6)	Llodra / Santoro	Johnson / Ullyett Čermák / Friedl
Rome	Clay	May 5	Arthurs / Hanley 6–1, 6–3	Llodra / Santoro	Damm / Suk Bhupathi / Mirnyi
Hamburg	Clay	May 12	Knowles / Nestor 6–4, 7–6(10)	Bhupathi / Mirnyi	Paes / Rikl Bryan / Byran
Canada (Montréal)	Hard	August 4	Bhupathi / Mirnyi 6–3, 7–6(4)	Björkman / Woodbridge	Damm / Suk Bryan / Byran
Cincinnati	Hard	August 11	Bryan / Bryan 7–5, 7–6(5)	Arthurs / Hanley	Bhupathi / Mirnyi Knowles / Nestor
Madrid	Hard (i)	October 13	Bhupathi / Mirnyi 6–2, 2–6, 6–3	Black / Ullyett	Palmer / Rikl Costa / Martin Verkerk
Paris	Carpet (i)	October 27	Arthurs / Hanley 6–3, 1–6, 6–3	Llodra / Santoro	Knowles / Nestor Björkman / Woodbridge
Houston ( TMC )	Hard	November 23	Bryan / Byran 6–7(6), 6–3, 3–6, 7–6(3), 6–4	Llodra / Santoro	Knowles / Nestor Etlis / Rodríguez
