Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 2	Phoenix Suns	W 107–90 (OT)	Zydrunas Ilgauskas (14)	Shaquille O'Neal (9)	LeBron James (10)	Quicken Loans Arena 20,562	13-5
19	December 4	Chicago Bulls	W 101–87 (OT)	LeBron James (23)	Zydrunas Ilgauskas , Shaquille O'Neal (7)	LeBron James (11)	Quicken Loans Arena 20,562	14-5
20	December 6	@ Milwaukee Bucks	W 101–86 (OT)	Delonte West (21)	Anderson Varejão (12)	LeBron James (10)	Bradley Center 16,625	15-5
21	December 8	@ Memphis Grizzlies	L 109–111 (OT)	LeBron James (43)	LeBron James (13)	Mo Williams (8)	FedEx Forum 16,325	15-6
22	December 9	@ Houston Rockets	L 85–95 (OT)	LeBron James (27)	Shaquille O'Neal , J. J. Hickson (10)	LeBron James (7)	Toyota Center 18,200	15-7
23	December 11	Portland Trail Blazers	W 104–99 (OT)	LeBron James (33)	Shaquille O'Neal (11)	Mo Williams (10)	Quicken Loans Arena 20,562	16-7
24	December 13	@ Oklahoma City Thunder	W 102–89 (OT)	LeBron James (44)	Anderson Varejão (10)	LeBron James (6)	Ford Center 18,203	17-7
25	December 15	New Jersey Nets	W 99–89 (OT)	LeBron James (23)	Mo Williams , Jamario Moon (8)	LeBron James (7)	Quicken Loans Arena 20,562	18-7
26	December 16	@ Philadelphia 76ers	W 108–101 (OT)	LeBron James (36)	Shaquille O'Neal (9)	LeBron James (7)	Wachovia Center 19,517	19-7
27	December 18	Milwaukee Bucks	W 85–82 (OT)	LeBron James (26)	LeBron James (10)	LeBron James (8)	Quicken Loans Arena 20,562	20-7
28	December 20	@ Dallas Mavericks	L 95–102 (OT)	LeBron James (25)	Anderson Varejão , Shaquille O'Neal (8)	LeBron James (6)	American Airlines Center 20,346	20-8
29	December 21	@ Phoenix Suns	W 109–91 (OT)	LeBron James (29)	Mo Williams , LeBron James , J.J. Hickson (6)	Delonte West (6)	US Airways Center 18,221	21-8
30	December 23	@ Sacramento Kings	W 117–104 (OT)	LeBron James (34)	LeBron James (16)	LeBron James (10)	ARCO Arena 16,407	22-8
31	December 25	@ L.A. Lakers	W 102–87 (OT)	Mo Williams (28)	Anderson Varejão , Zydrunas Ilgauskas (9)	LeBron James (9)	Staples Center 18,997	23-8
32	December 27	Houston Rockets	W 108–83 (OT)	LeBron James (29)	Shaquille O'Neal (11)	LeBron James (6)	Quicken Loans Arena 20,562	24-8
