Rank	Name	Nation	Placings	Figures	Free	Total
1	Dick Button	United States	7	104.38	79.33	183.71
2	James Grogan	United States	17	93.11	77.58	170.69
3	Helmut Seibt	Austria	22	94.08	74.78	168.86
4	Hayes Alan Jenkins	United States	25	90.80	77.35	168.15
5	Dudley Richards	United States	38	85.63	70.93	156.56
6	Carlo Fassi	Italy	41	84.45	72.22	156.67
7	Don Laws	United States	48	81.92	68.60	150.52
8	Michael Carrington	United Kingdom	54	83.88	64.05	147.93
9	William Lewis	Canada	67	76.63	56.35	132.98
10	Freimut Stein	West Germany	69	74.00	58.10	132.10
11	Ryusuke Arisaka	Japan	74	73.30	56.10	129.40
