Season	Zone	Champion	Second	Third	Top scorer
1995-96	1	Pokuttia Kolomyia	Mebilnyk Chernivtsi	Karpaty Rakhiv	Andriy Chachkin Zoria Khorostkiv - 7
1995-96	2	Zoria Khorostkiv	ENKO Lutsk	Sokil Radyvyliv	Andriy Chachkin Zoria Khorostkiv - 7
1995-96	3	Paperovyk Malyn	Lokomotyv Smila	Budivelnyk Brovary	Andriy Chachkin Zoria Khorostkiv - 7
1995-96	4	Fakel Varva	Elektron Romny	Avanhard Merefa	Andriy Chachkin Zoria Khorostkiv - 7
1995-96	5	Avanhard Kramatorsk	Shakhtar Rovenky	Budivelnyk Kryvyi Rih	Andriy Chachkin Zoria Khorostkiv - 7
1995-96	6	Portovyk Kerch	Kolos Osokorivka	Blaho Blahoyeve	Andriy Chachkin Zoria Khorostkiv - 7
1994-95	1	Khimik Kalush	Yalynka Velykyi Bychkiv	Pokuttia Kolomyia	Vasyl Lomaka Shakhtar Sverdlovsk - 30
1994-95	2	Haray Zhovkva	Zoria Khorostkiv	Probiy Horodenka	Vasyl Lomaka Shakhtar Sverdlovsk - 30
1994-95	3	Obolon-Zmina Kyiv	Dynamo-3 Kyiv	Ahroservis Bakhmach	Vasyl Lomaka Shakhtar Sverdlovsk - 30
1994-95	4	Sportinvest Kryvyi Rih	Avanhard Merefa	Silur Khartsyzk	Vasyl Lomaka Shakhtar Sverdlovsk - 30
1994-95	5	Dynamo Slavyansk	Shakhtar Sverdlovsk	Metalurh Kupyansk	Vasyl Lomaka Shakhtar Sverdlovsk - 30
1994-95	6	Portovyk Illichivsk	Olimpia FC AES Yuzhnoukrainsk	Mercury Pervomaysk	Vasyl Lomaka Shakhtar Sverdlovsk - 30
1993-94	1	LAZ Lviv	Lada Chernivtsi	Pokuttia Kolomyia	Oleksandr Dovhalets Advis Khmelnytskyi - 27
1993-94	2	Advis Khmelnytskyi	Keramik Baranivka	Obolon-Zmina Kyiv	Oleksandr Dovhalets Advis Khmelnytskyi - 27
1993-94	3	Transimpeks Vyshneve	Sula Lubny	Ahroservis Bakhmach	Oleksandr Dovhalets Advis Khmelnytskyi - 27
1993-94	4	Avanhard Rovenky	Vahbud Kremenchuk	Krystal Torez	Oleksandr Dovhalets Advis Khmelnytskyi - 27
1993-94	5	Metalurh Novomoskovsk	Shakhtar Horlivka	Shakhtar Sverdlovsk	Oleksandr Dovhalets Advis Khmelnytskyi - 27
1993-94	6	Tavria Novotroitsk	Dnistrovets Bilhorod-Dnistrovsky	Blaho Blahoyeve	Oleksandr Dovhalets Advis Khmelnytskyi - 27
1992-1993	1	Beskyd Nadvirna	Khimik Kalush	Lada Chernivtsi	Serhiy Akymenko Shakhtar Snizhne - 23
1992-1993	2	Khutrovyk Tysmenytsia	Advis Khmelnytskyi	Lokomotyv Rivne	Serhiy Akymenko Shakhtar Snizhne - 23
1992-1993	3	Hart Borodianka	Keramik Baranivka	Dynamo-3 Kyiv	Serhiy Akymenko Shakhtar Snizhne - 23
1992-1993	4	Sirius Zhovti Vody	Avanhard Rovenky	Vahbud Kremenchuk	Serhiy Akymenko Shakhtar Snizhne - 23
1992-1993	5	Oskil Kupyansk	Shakhtar Sverdlovsk	Shakhtar Snizhne	Serhiy Akymenko Shakhtar Snizhne - 23
1992-1993	6	Surozh Sudak	Tavria Novotroitsk	Blaho Blahoyeve	Serhiy Akymenko Shakhtar Snizhne - 23
