Season	Winner	Score	Runners–up	Venue(s)
1992	Inker Zaprešić (1)	1–1, 1–0	HAŠK Građanski	Stadion Intera , Zaprešić Maksimir , Zagreb
1992–93	Hajduk Split (1)	4–1, 1–2	Croatia Zagreb	Poljud , Split Maksimir , Zagreb
1993–94	Croatia Zagreb (1)	2–0, 0–1	Rijeka	Maksimir , Zagreb Kantrida , Rijeka
1994–95	Hajduk Split (2)	3–2, 1–0	Croatia Zagreb	Poljud , Split Maksimir , Zagreb
1995–96	Croatia Zagreb (2)	2–0, 1–0	Varteks	Stadion Varteksa , Varaždin Maksimir , Zagreb
1996–97	Croatia Zagreb (3)	2–1	NK Zagreb	Maksimir , Zagreb
1997–98	Croatia Zagreb (4)	1–0, 2–1	Varteks	Stadion Varteksa , Varaždin Maksimir , Zagreb
1998–99	Osijek (1)	2–1	Cibalia	Maksimir , Zagreb
1999–2000	Hajduk Split (3)	2–0, 0–1	Dinamo Zagreb	Poljud , Split Maksimir , Zagreb
2000–01	Dinamo Zagreb (5)	2–0, 1–0	Hajduk Split	Poljud , Split Maksimir , Zagreb
2001–02	Dinamo Zagreb (6)	1–1, 1–0	Varteks	Maksimir , Zagreb Stadion Varteksa , Varaždin
2002–03	Hajduk Split (4)	1–0, 4–0	Uljanik Pula	Stadion Aldo Drosina , Pula Poljud , Split
2003–04	Dinamo Zagreb (7)	1–1, 0–0	Varteks	Stadion Varteksa , Varaždin Maksimir , Zagreb
2004–05	Rijeka (1)	2–1, 1–0	Hajduk Split	Kantrida , Rijeka Poljud , Split
2005–06	Rijeka (2)	4–0, 1–5	Varteks	Kantrida , Rijeka Stadion Varteksa , Varaždin
2006–07	Dinamo Zagreb (8)	1–0, 1–1	Slaven Belupo	Maksimir , Zagreb Gradski stadion , Koprivnica
2007–08	Dinamo Zagreb (9)	3–0, 0–0	Hajduk Split	Maksimir , Zagreb Poljud , Split
2008–09	Dinamo Zagreb (10)	3–0, 0–3, (4–3 p )	Hajduk Split	Maksimir , Zagreb Poljud , Split
2009–10	Hajduk Split (5)	2–1, 2–0	Šibenik	Poljud , Split Šubićevac , Šibenik
2010–11	Dinamo Zagreb (11)	5–1, 3–1	Varaždin	Maksimir , Zagreb Anđelko Herjavec , Varaždin
2011–12	Dinamo Zagreb (12)	0–0, 3–1	Osijek	Gradski vrt , Osijek Maksimir , Zagreb
2012–13	Hajduk Split (6)	2–1, 3–3 details	Lokomotiva	Poljud , Split Maksimir , Zagreb
