Year	Arizona	California	Colorado	Nevada	New Mexico	Oklahoma	Texas	Utah
Year	Arizona	California	Colorado	Nevada	New Mexico	Oklahoma	Texas	Utah
1952	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower
1956	Εisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower
1960	Nixon	Nixon	Nixon	Kennedy	Kennedy	Nixon	Kennedy	Nixon
1964	Goldwater	Johnson	Johnson	Johnson	Johnson	Johnson	Johnson	Johnson
1968	Nixon	Nixon	Nixon	Nixon	Nixon	Nixon	Humphrey	Nixon
1972	Nixon	Nixon	Nixon	Nixon	Nixon	Nixon	Nixon	Nixon
1976	Ford	Ford	Ford	Ford	Ford	Ford	Carter	Ford
1980	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan
1984	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan
1988	Bush	Bush	Bush	Bush	Bush	Bush	Bush	Bush
1992	Bush	Clinton	Clinton	Clinton	Clinton	Bush	Bush	Bush
1996	Clinton	Clinton	Dole	Clinton	Clinton	Dole	Dole	Dole
2000	Bush	Gore	Bush	Bush	Gore	Bush	Bush	Bush
2004	Bush	Kerry	Bush	Bush	Bush	Bush	Bush	Bush
2008	McCain	Obama	Obama	Obama	Obama	McCain	McCain	McCain
2012	Romney	Obama	Obama	Obama	Obama	Romney	Romney	Romney
