Game	December	Opponent	Score	Record	Points
26	2	@ Ottawa Senators	3–5	11–11–4–0	26
27	6	Tampa Bay Lightning	6–3	12–11–4–0	28
28	8	@ Detroit Red Wings	1–5	12–12–4–0	28
29	10	New York Islanders	5–2	13–12–4–0	30
30	12	@ Nashville Predators	2–2 OT	13–12–5–0	31
31	13	@ Colorado Avalanche	3–3 OT	13–12–6–0	32
32	16	New Jersey Devils	6–3	14–12–6–0	34
33	19	@ Boston Bruins	4–4 OT	14–12–7–0	35
34	21	San Jose Sharks	4–3	15–12–7–0	37
35	23	Carolina Hurricanes	2–1 OT	16–12–7–0	39
36	27	@ Florida Panthers	5–2	17–12–7–0	41
37	28	@ Tampa Bay Lightning	3–4	17–13–7–0	41
38	30	@ Washington Capitals	3–6	17–14–7–0	41
