Week	Date	Opponent	Location	Final Score	Attendance	Record
1	July 11	@ Rough Riders	Lansdowne Park	W 35–18	23254	1–0
2	July 18	Tiger-Cats	SkyDome	W 41–18	41178	2–0
3	July 25	Blue Bombers	SkyDome	W 30–16	37486	3–0
4	August 1	@ Lions	BC Place Stadium	L 52–41 (OT)	53527	3–1
5	August 9	@ Roughriders	Taylor Field	W 37–35	27093	4–1
6	August 15	Roughriders	SkyDome	W 62–10	35786	5–1
7	August 21	@ Eskimos	Commonwealth Stadium	L 53–39	43826	5–2
8	August 27	Lions	SkyDome	W 34–25	39508	6–2
8	September 2	@ Tiger-Cats	Ivor Wynne Stadium	L 48–24	18461	6–3
9	September 7	Tiger-Cats	SkyDome	W 52–25	36102	7–3
10	September 15	@ Stampeders	McMahon Stadium	L 33–24	26122	7–4
11	September 21	Eskimos	SkyDome	W 47–28	34895	8–4
12	September 29	@ Rough Riders	Lansdowne Park	W 25–24	26172	9–4
13	October 5	Blue Bombers	SkyDome	W 22–21	32194	10–4
14	October 11	@ Blue Bombers	Winnipeg Stadium	L 28–27	30760	10–5
15	October 20	Stampeders	SkyDome	W 34–27	33590	11–5
16	October 27 †	@ Tiger-Cats	Ivor Wynne Stadium	W 39–34	17453	12–5
