Hits	Player	Team	Year	Years Record Stood
138	Ross Barnes	Chicago White Stockings	1876	7
146	Roger Connor	New York Gothams	1883	1
162	Ezra Sutton	Boston Beaneaters	1884	1
169	Roger Connor	New York Gothams	1885	1
187	Cap Anson	Chicago White Stockings	1886	1
225	Tip O'Neill	St. Louis Cardinals	1887	7
237	Hugh Duffy	Boston Braves	1894	5
238	Ed Delahanty	Philadelphia Phillies	1899	12
248	Ty Cobb	Detroit Tigers	1911	9
257	George Sisler	St. Louis Browns	1920	84
262	Ichiro Suzuki	Seattle Mariners	2004	8 (current)
