Year	Lijsttrekker	Fractievoorzitter	Cabinet	Chair
1966	no elections	none	extra-parliamentary	Hans van Mierlo
1967	Hans van Mierlo	Hans van Mierlo	opposition	G. Ringalda
1968	no elections	Hans van Mierlo	opposition	H.J. Lookeren-Campagne
1969	no elections	Hans van Mierlo	opposition	J.A.P.M. Beekmans
1970	no elections	Hans van Mierlo	opposition	J.A.P.M. Beekmans
1971	Hans van Mierlo	Hans van Mierlo	opposition	J.A.P.M. Beekmans
1972	no elections	Jan Terlouw	Hans Gruijters	R.E. van der Scheer-van Essen
1973	no elections	Jan Terlouw	Hans Gruijters	J. ten Brink
1974	no elections	Jan Terlouw	Hans Gruijters	J. ten Brink
1975	no elections	Jan Terlouw	Hans Gruijters	J. ten Brink
1976	no elections	Jan Terlouw	Hans Gruijters	Jan Glastra van Loon
1977	Jan Terlouw	Jan Terlouw	opposition	Jan Glastra van Loon
1978	no elections	Jan Terlouw	opposition	Jan Glastra van Loon
1979	no elections	Jan Terlouw	opposition	Jan Glastra van Loon
1980	no elections	Jan Terlouw	opposition	Henk Zeevalking
1981	Jan Terlouw	Laurens-Jan Brinkhorst	Jan Terlouw	Henk Zeevalking
1982	Jan Terlouw	Maarten Engwirda	opposition	J. Berkom
1983	no elections	Maarten Engwirda	opposition	Jacob Kohnstam
1984	no elections	Maarten Engwirda	opposition	Jacob Kohnstam
1985	no elections	Maarten Engwirda	opposition	Jacob Kohnstam
1986	Hans van Mierlo	Hans van Mierlo	opposition	S. van der Loo
1987	no elections	Hans van Mierlo	opposition	S. van der Loo
1988	no elections	Hans van Mierlo	opposition	S. van der Loo
1989	Hans van Mierlo	Hans van Mierlo	opposition	M. de Jager
1990	no elections	Hans van Mierlo	opposition	M. de Jager
1991	no elections	Hans van Mierlo	opposition	H.J.D. Janssen
1992	no elections	Hans van Mierlo	opposition	H.J.D. Janssen
1993	no elections	Hans van Mierlo	opposition	W.I.J.M. Vrijhoef
1994	Hans van Mierlo	Gerrit-Jan Wolffensperger	Hans van Mierlo	W.I.J.M. Vrijhoef
1995	no elections	Gerrit-Jan Wolffensperger	Hans van Mierlo	W.I.J.M. Vrijhoef
1996	no elections	Gerrit-Jan Wolffensperger	Hans van Mierlo	W.I.J.M. Vrijhoef
1997	no elections	Thom de Graaf	Hans van Mierlo	Tom Kok
1998	Els Borst	Thom de Graaf	Els Borst	Tom Kok
1999	no elections	Thom de Graaf	Els Borst	Tom Kok
2000	no elections	Thom de Graaf	Els Borst	Gerard Schouw
2001	no elections	Thom de Graaf	Els Borst	Gerard Schouw
2002	Thom de Graaf	Thom de Graaf	opposition	Gerard Schouw
2003	Thom de Graaf	Boris Dittrich	Thom de Graaf	Alexander Pechtold
2004	no elections	Boris Dittrich	Thom de Graaf	Alexander Pechtold
2005	no elections	Boris Dittrich	Laurens-Jan Brinkhorst	Frank Dales
2006	Alexander Pechtold	Lousewies van der Laan	Laurens-Jan Brinkhorst	Frank Dales
2007	no elections	Alexander Pechtold	opposition	Ingrid van Engelshoven
2008	no elections	Alexander Pechtold	opposition	Ingrid van Engelshoven
2009	no elections	Alexander Pechtold	opposition	Ingrid van Engelshoven
2010	Alexander Pechtold	Alexander Pechtold	opposition	Ingrid van Engelshoven
2011	no elections	Alexander Pechtold	opposition	Ingrid van Engelshoven
2012	Alexander Pechtold	Alexander Pechtold	opposition	Ingrid van Engelshoven
