Year	Stage	Start of stage	Distance (km)	Category of climb	Stage winner	Nationality	Yellow jersey	Bend
2013 †	18	Gap	172.5	HC	Christophe Riblon	France	Chris Froome	15
2011	19	Modane	109.5	HC	Pierre Rolland	France	Andy Schleck	16
2008	17	Embrun	210.5	HC	Carlos Sastre	Spain	Carlos Sastre	17
2006	15	Gap	187	HC	Fränk Schleck	Luxembourg	Floyd Landis	18
2004	16	Bourg-d'Oisans	15.5 ( ITT )	HC	Lance Armstrong	United States	Lance Armstrong	19
2003	8	Sallanches	219	HC	Iban Mayo	Spain	Lance Armstrong	20
2001	10	Aix-les-Bains	209	HC	Lance Armstrong	United States	François Simon	21
1999	10	Sestrières	220.5	HC	Giuseppe Guerini	Italy	Lance Armstrong	1
1997	13	Saint-Étienne	203.5	HC	Marco Pantani	Italy	Jan Ullrich	2
1995	10	Aime – La Plagne	162.5	HC	Marco Pantani	Italy	Miguel Indurain	3
1994	16	Valréas	224.5	HC	Roberto Conti	Italy	Miguel Indurain	4
1992	14	Sestrières	186.5	HC	Andrew Hampsten	United States	Miguel Indurain	5
1991	17	Gap	125	HC	Gianni Bugno	Italy	Miguel Indurain	6
1990	11	Saint-Gervais – Mont Blanc	182.5	HC	Gianni Bugno	Italy	Ronan Pensec	7
1989	17	Briançon	165	HC	Gert-Jan Theunisse	Netherlands	Laurent Fignon	8
1988	12	Morzine	227	HC	Steven Rooks	Netherlands	Pedro Delgado	9
1987	20	Villard-de-Lans	201	HC	Federico Echave	Spain	Pedro Delgado	10
1986	18	Briançon – Serre Chevalier	182.5	HC	Bernard Hinault	France	Greg LeMond	11
1984	17	Grenoble	151	HC	Luis Herrera	Colombia	Laurent Fignon	12
1983	17	La Tour-du-Pin	223	HC	Peter Winnen	Netherlands	Laurent Fignon	13
1982	16	Orcières-Merlette	123	HC	Beat Breu	Switzerland	Bernard Hinault	14
1981	19	Morzine	230.5	HC	Peter Winnen	Netherlands	Bernard Hinault	15
1979 *	18	Alpe d'Huez	118.5	HC	Joop Zoetemelk	Netherlands	Bernard Hinault	16
1979 *	17	Les Menuires	166.5	HC	Joaquim Agostinho	Portugal	Bernard Hinault	17
1978	16	Saint-Étienne	240.5	1	Hennie Kuiper	Netherlands	Joop Zoetemelk	18
1977	17	Chamonix	184.5	1	Hennie Kuiper	Netherlands	Bernard Thévenet	19
1976	9	Divonne-les-Bains	258	1	Joop Zoetemelk	Netherlands	Lucien Van Impe	20
