Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
30	January 2	@ Charlotte	109–97	Gordon (22)	Deng (13)	Deng (5)	Charlotte Bobcats Arena 11,568	12–18
31	January 3	Portland	109–115	Gordon (32)	Wallace (14)	Hinrich (9)	United Center 21,756	12–19
32	January 5	Sacramento	94–93	Nocioni (26)	Wallace (11)	Hinrich (7)	United Center 21,908	13–19
33	January 8	New York	100–105	Smith (22)	Smith (12)	Hinrich (9)	United Center 21,838	13–20
34	January 11	@ Philadelphia	100–97	Nocioni (27)	Wallace (8)	Hinrich (7)	Wachovia Center 17,046	14–20
35	January 13	@ Atlanta	84–105	Deng (28)	Wallace (13)	Duhon , Sefolosha (5)	Philips Arena 16,065	14–21
36	January 15	@ Orlando	88–102	Smith (13)	Noah (11)	Duhon (5)	Amway Arena 17,519	14–22
37	January 16	@ Miami	126–96	Gordon (24)	Noah (8)	Deng (8)	American Airlines Arena 19,600	15–22
38	January 18	Golden State	111–119	Gordon (29)	Deng (12)	Duhon (8)	United Center 21,896	15–23
39	January 19	Detroit	97–81	Gordon (33)	Sefolosha (13)	Duhon (4)	United Center 22,657	16–23
40	January 21	@ Memphis	90–104	Gordon (25)	Wallace (13)	Hinrich (6)	FedExForum 18,119	16–24
41	January 23	Indiana	108–95	Hinrich (38)	Noah (15)	Hinrich (10)	United Center 21,774	17–24
42	January 25	Charlotte	77–90	Nocioni (25)	Sefolosha (10)	Hinrich (8)	United Center 21,761	17–25
43	January 27	Phoenix	77–88	Hinrich (31)	Thomas (11)	Hinrich , Duhon (3)	United Center 22,245	17–26
44	January 29	Minnesota	96–85	Hinrich (27)	Noah (13)	Hinrich (6)	United Center 21,725	18–26
45	January 30	@ Minnesota	67–83	Hinrich , Sefolosha (14)	Noah , Wallace , Sefolosha (8)	Hinrich (8)	Target Center 10,910	18–27
