Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	4	Bryan Allen	Oshawa Generals ( OHL )	216	7
2	31	Artem Chubarov	HC CSKA Moscow ( Rus )	228	27
3	68	Jarkko Ruutu	HIFK ( Fin )	267	24
3	81	Justin Morrison	Colorado College ( NCAA )	0	0
4	90	Regan Darby	Tri-City Americans ( WHL )	0	0
5	136	David Jonsson	Leksands IF ( Swe )	0	0
5	140	Rick Bertran	Kitchener Rangers ( OHL )	0	0
6	149	Paul Cabana	Fort McMurray Oil Barons ( AJHL )	0	0
7	177	Vince Malts	Hull Olympiques ( QMJHL )	0	0
8	204	Graig Mischler	Northeastern University ( NCAA )	0	0
8	219	Curtis Valentine	Bowling Green State University ( NCAA )	0	0
9	232	Jason Metcalfe	London Knights ( OHL )	0	0
