Rank	Nation	Gold	Silver	Bronze	Total
1	United States	11	7	6	24
2	USSR	6	3	5	14
3	Yugoslavia	3	2	2	7
4	Finland	3	2	0	5
5	Russia	3	0	3	6
6	Poland	2	2	1	5
7	Australia	2	1	1	4
7	Kazakhstan	2	1	1	4
9	Hungary	2	0	3	5
10	Germany	2	0	1	3
11	Norway	1	4	1	6
12	West Germany	1	3	3	7
13	China	1	3	0	4
14	Ukraine	1	2	4	7
15	Sweden	1	1	4	6
16	Czechoslovakia	1	1	1	3
17	South Africa	1	1	0	2
18	Italy	1	0	2	3
19	Belarus	1	0	0	1
19	Great Britain	1	0	0	1
21	France	0	3	2	5
22	Bulgaria	0	3	1	4
23	Austria	0	1	2	3
24	Romania	0	1	1	2
25	Canada	0	1	0	1
25	Denmark	0	1	0	1
25	East Germany	0	1	0	1
25	Slovakia	0	1	0	1
25	Slovenia	0	1	0	1
30	Spain	0	0	1	1
30	Switzerland	0	0	1	1
Total	Total	46	46	46	138
