Episode #	Series #	Episode Title	Original air date	Production Code
53	1	"Stars in Danger"	5July2010	301
54	2	"The Break-up"	6July2010	302
55	3	"Welcome to Paradisia"	7July2010	303
56	4	"A New Strategy"	8July2010	304
57	5	"Resonance"	4September2010	305
58	6	"May the Show Begin!"	11September2010	306
59	7	"Fathers and Sons"	18September2010	307
60	8	"The Other Side of Paradisia"	25September2010	308
61	9	"The Secret of Deep Stadium"	10October2011	309
62	10	"Friends and Enemies"	11October2011	310
63	11	"Battle for the Final"	12October2011	311
64	12	"Betrayal on the Field"	13October2011	312
65	13	"Endgame"	14October2011	313
66	14	"A New Start"	15October2011	314
67	15	"Crossed Fates"	16October2011	315
68	16	"The Secrets of the Breath"	17October2011	316
69	17	"Reconstituted Families"	18October2011	317
70	18	"Sinedd’s Shadow"	19October2011	318
71	19	"The Ghost of Paradisia"	20October2011	319
72	20	"Walk for a Pirate"	21October2011	320
73	21	"Farewell, Paradisia"	22October2011	321
74	22	"All Together!"	23October2011	322
75	23	"Lost Illusions"	24October2011	323
76	24	"The Second Chance"	25October2011	324
77	25	"On all Fronts"	26October2011	325
