Wind Farm	Capacity (MW)	Turbines	Turbine Vendor	Size (MW)	County
Altagowlan	7.6	9	Gamesa	0.85	Roscommon
Anarget	1.2	2	ENERCON	0.6	Donegal
Anarget Extension	0.9	1	ENERCON	0.9	Donegal
Astellas	0.8	1	ENERCON	0.8	Kerry
Ballincollig Hill	13.3	16	ENERCON	0.9 and 0.8	Kerry
Ballinlough/Ikerrin	2.55	3	Vestas	0.85	Tipperary
Ballinveny	2.55	3	Vestas	0.85	Tipperary
Ballybane	29.9	13	ENERCON	2.3	Cork
Ballymartin	6.9	3	ENERCON	2.3	Kilkenny
Ballywater	42	21	ENERCON	2	Wexford
Bawnmore 1	11.5	5	ENERCON	2.3	Cork
Bawnmore 2 (Carriganima)	13.8	6	ENERCON	2.3	Cork
Barnesmore	15	21	Vestas	0.60	Donegal
Beal Hill/1	1.65	1	Vestas	1.65	Kerry
Beal Hill/2	2.55	3	Vestas	0.85	Kerry
Beallough	1.7	2	Vestas	0.85	Waterford
Beam Hill	14	8	Vestas	1.75	Donegal
Beenageeha	3.96	6	Vestas	0.66	Kerry
Bellacorick	6.45	21	Nordtank	0.3	Mayo
Bindoo	48	32	GE	1.5	Cavan
Blackbanks/1	3.4	4	Vestas	0.85	Leitrim
Blackbanks/2	6.8	8	Vestas	0.85	Leitrim
Boggeragh	57	19	Vestas	3	Cork
Booltiagh	19.5	13	GE	1.5	Clare
Brett Martin	2.3	1	ENERCON	2.3	Belfast
Burtonport	0.66	1	Vestas	0.66	Donegal
Caherdowney	9.2	4	ENERCON	2.3	Cork
Caranne Hill	3.4	4	Gamesa	0.85	Sligo
Cark	15	25	NEG Micon	0.6	Donegal
Carnsore	11.9	14	Vestas	0.85	Wexford
Carrigcannon	23	10	ENERCON	2.3	Cork
Carrigh	2.55	3	Vestas	0.85	Tipperary
Carrons	4.6	2	ENERCON	2.3	Limerick
Castledockrell	41.4	18	ENERCON	2.3	Wexford
Clydaghroe	4.6	2	ENERCON	2	Cork
Coomacheo	41.4	18	Siemens	2.3	Cork
Coomatallin	6	4	GE	1.5	Cork
Cornacahan	2.7	3	ENERCON	0.9	Donegal
Corneen	3	2	GE	1.5	Cavan
Corrie Mt.	4.8	8	Vestas	0.6	Leitrim
Crocane	1.6	2	ENERCON	0.8	Cork
Crockahenny	5.0	10	ENERCON	0.5	Donegal
Cronalaght 1&2	4.8	8	Vestas	0.6	Donegal
Cronelea	6.9	3	ENERCON	2.3	Wexford
Cronelea Upper	1.8	2	ENERCON	0.9	Wicklow
Cronelea Upper	2.55	3	Vestas	0.85	Wicklow
Cuillalea	3.4	4	Vestas	0.85	Mayo
Culliagh	12	18	Vestas	0.66	Donegal
Curragh	18	8	Siemens	2.3	Cork
Curraghgraigue	2.55	3	Vestas	0.85	Tipperary
Derrybrien	60	70	Vestas	0.85	Galway
Derrynadivva	8	10	ENERCON	0.8	Mayo
Dromada	28.5	19	GE	1.5	Limerick
Drumlough	4.8	8	Windmaster	0.6	Donegal
Drybridge/Dunmore	1.7	2	Vestas	0.85	Louth
Dundalk IT	0.85	1	Vestas	0.85	Louth
Dunmore	1.8	2	ENERCON	0.9	Louth
Flughland	9.2	4	ENERCON	2.3	Donegal
Gartnaneane	15	10	GE	1.5	Cavan
Geevagh	5	6	Gamesa	0.85	Sligo
Glackmore	2.3	1	ENERCON	2.3	Donegal
Gneeves	9.35	11	Vestas	0.85	Cork
Greenoge	5.2	4	Nordex	1.3	Carlow
Inverin 1&2	3.96	4	Vestas	0.66	Galway
Kealkill	8.5	10	Gamesa	0.85	Cork
Kilgarvan	45	15	Vestas	3	Kerry
Kilgarvan Ext	30	13	Nordex	2.3	Kerry
Killybegs	13.8	6	ENERCON	2.3	Donegal
Kilronan	5	10	Vestas	0.5	Roscommon
Kilvinane	4.5	3	Gamesa	0.85	Cork
Kingsmountain	25	10	Nordex	2.5	Sligo
Knockastanna	6	4	GE	1.5	Limerick
Knockawarriga	22.5	9	Nordex	2.5	Limerick
Lacka Cross	4.6	2	ENERCON	2.3	Kerry
Lackan	6.9	3	ENERCON	2.3	Sligo
Lahanaght Hill	4.25	5	Vestas	0.85	Cork
Largan Hill	5.9	9	Vestas	0.66	Roscommon
Lenanavea	4.5	5	ENERCON	0.9	Mayo
Lisheen	54	18	Vestas	3	Tipperary
Loughderryduff	7.65	9	Vestas	0.85	Donegal
Lurganboy	5.4	6	ENERCON	0.9	Donegal
Mace Upper	2.4	3	ENERCON	0.8	Mayo
Meenachullalan	13.8	6	ENERCON	2.3	Donegal
Meenadreen	3.4	4	Vestas	0.85	Donegal
Meenanilta	2.55	3	Vestas	0.85	Donegal
Meenanilta 3	3.2	4	ENERCON	0.80	Donegal
Meentycat	72	38	Siemens	2.3	Donegal
Midas	32.24	23	Vestas	3 and 0.85	Kerry
Mienvee(I and II)	1.7	1	Vestas	0.85	Tipperary
Milane Hill	5.94	9	Vestas	0.66	Cork
Moanmore	14	7	ENERCON	2	Clare
Moneenatieve	4.25	2	Gamesa	0.85	Leitrim
Mount Eagle 2	1.7	2	Vestas	0.85	Kerry
Mount Lucas	84	28	Siemens	3	Offaly
Mountain Lodge	34.5	23	GE	1.5	Cavan
Mountain Lodge II	3	2	GE	1.5	Cavan
Mullananalt	7.5	5	GE	1.5	Monaghan
Muingnaminnane	14.8	18	ENERCON	0.9 and 0.8	Kerry
Pallas	40	20	ENERCON	2.0	Kerry
Raheen Barr	18.7	22	Vestas	0.85	Mayo
Rahora	4	5	ENERCON	0.8	Cork
Rathmooney	0.8	1	ENERCON	0.8	Dublin
Reenascreena	4.0	5	ENERCON	0.8	Cork
Richfield	27	18	GE	1.5	Wexford
Seltannaveeny	4.6	2	ENERCON	2.3	Leitrim
Shannagh	2.7	3	ENERCON	0.9	Donegal
Sheeragh	4.6	2	ENERCON	2.3	Donegal
Skehanagh	4.25	5	Vestas	0.85	Tipperary
Skrine	4.6	2	ENERCON	2.3	Roscommon
Snugborough	13.5	9	GE	1.5	Louth
Sonnagh Old	7.65	9	Vestas	0.85	Galway
Sorne Hill	38	19	ENERCON	2	Donegal
Spion Kop	1.2	2	Vestas	0.6	Leitrim
Slievereagh	2.3	1	ENERCON	2.3	Limerick
Taurbeg	25.3	11	Siemens	2.3	Cork
Tournafulla	27	18	GE	1.5	Limerick
Tullynamoyle	9.2	4	ENERCON	2.3	Leitrim
Tursillagh/1	15.8	23	Vestas	0.66	Kerry
Tursillagh/2	6.8	23	Vestas	0.85	Kerry
Glenough	32.5	13	NORDEX	2.5	Tipperary
Gortahaile	20	8	NORDEX	2.5	Laois
Grouselodge	20	8	NORDEX	2.5	Limerick
Garracummer	42.5	17	NORDEX	2.5	County Tipperary
