No.	#	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
45	1	"Clone Cadets"	Dave Filoni	Cameron Litvack	September17,2010	3.01	2.42
46	2	"ARC Troopers"	Kyle Dunlevy	Cameron Litvack	September17,2010	3.02	2.42
47	3	"Supply Lines"	Brian Kalin O'Connell	Steven Melching & Eoghan Mahony	September24,2010	2.24	1.69
48	4	"Sphere of Influence"	Kyle Dunlevy	Katie Lucas & Steven Melching	October1,2010	2.25	1.88
49	5	"Corruption"	Giancarlo Volpe	Cameron Litvack	October8,2010	3.04	1.78
50	6	"The Academy"	Giancarlo Volpe	Katie Lucas & Steven Melching	October15,2010	2.26	1.79
51	7	"Assassin"	Kyle Dunlevy	Katie Lucas	October22,2010	2.21	1.85
52	8	"Evil Plans"	Brian Kalin O'Connell	Steve Mitchell & Craig Van Sickle	November5,2010	3.03	1.84
53	9	"Hunt for Ziro"	Steward Lee	Steve Mitchell & Craig Van Sickle	November12,2010	3.05	1.76
54	10	"Heroes on Both Sides"	Kyle Dunlevy	Daniel Arkin	November19,2010	3.06	1.75
55	11	"Pursuit of Peace"	Duwayne Dunham	Daniel Arkin	December3,2010	3.07	1.61
56	12	"Nightsisters"	Giancarlo Volpe	Katie Lucas	January7,2011	3.08	1.86
57	13	"Monster"	Kyle Dunlevy	Katie Lucas	January14,2011	3.10	N/A
58	14	"Witches of the Mist"	Giancarlo Volpe	Katie Lucas	January21,2011	3.12	2.21
59	15	"Overlords"	Steward Lee	Christian Taylor	January28,2011	3.09	1.74
60	16	"Altar of Mortis"	Brian Kalin O'Connell	Christian Taylor	February4,2011	3.11	2.29
61	17	"Ghosts of Mortis"	Steward Lee	Christian Taylor	February11,2011	3.13	2.24
62	18	"The Citadel"	Kyle Dunlevy	Matt Michnovetz	February18,2011	3.14	1.84
63	19	"Counter Attack"	Brian Kalin O'Connell	Matt Michnovetz	March4,2011	3.15	1.87
64	20	"Citadel Rescue"	Steward Lee	Matt Michnovetz	March11,2011	3.17	1.55
65	21	"Padawan Lost"	Dave Filoni	Bonnie Mark	March19,2011 (UK) April1,2011 (USA)	3.16	2.31
