Date	Opponent	Venue	Result	Attendance	Competition	Man of the Match
4th	Milton Keynes Lightning	Away	Lost 6-5 (OT)	1,093	League/Cup	Lukas Smital
5th	Telford Tigers	Home	Lost 3-4	1,538	League/Cup	Lukas Smital
11th	Sheffield Scimitars	Home	Won 3-2 (SO)	1,249	League/Cup	Joe Watkins
12th	Peterborough Phantoms	Away	Won 7-3	526	League/Cup	Joe Watkins
15th	Peterborough Phantoms	Home	Won 4-2	945	League/Cup	Joe Watkins
18th	Slough Jets	Away	Won 6-5	649	League/Cup	Lukas Smital
19th	Wightlink Raiders	Home	Lost 4-5	1,424	League	Stephen Lee
24th	HK Aquacity ŠKP Poprad	Away	Lost 6-5	4,500	Exhibition	N/A
25th	Bracknell Bees	Home	Won 1-0	1,542	League	Nick Cross
26th	Telford Tigers	Away	Won 4-3 (OT)	675	League/Cup	Rick Plant
