CERCLIS ID	County	Proposed	Listed	Construction completed	Partially deleted	Deleted
CA0001576081	Alameda	04/30/2003	09/29/2003	N/A	N/A	N/A
CA2170023236	Alameda	05/10/1999	07/22/1999	N/A	N/A	N/A
CA2890012584	Alameda	10/15/1984	07/22/1987	08/10/2007	N/A	N/A
CA2890090002	Alameda and San Joaquin	07/14/1989	08/30/1990	N/A	N/A	N/A
CAD980673685	Alpine	10/22/1999	05/11/2000	N/A	N/A	N/A
CAD009112087	Butte	09/08/1983	09/21/1984	09/04/2003	N/A	N/A
CAD065021594	Butte	10/15/1984	06/10/1986	10/01/1995	N/A	11/21/1996
CAD980894679	Butte	10/26/1989	08/30/1990	03/31/1999	N/A	08/29/2001
CA7170024528	Contra Costa	06/24/1988	12/16/1994	N/A	N/A	N/A
CAD980498562	Contra Costa	06/24/1988	N/A	N/A	N/A	N/A
CAT000646208	Contra Costa	12/30/1982	09/08/1983	09/27/1995	N/A	09/11/1996
CAD981436363	Contra Costa	10/26/1989	03/14/1990	N/A	N/A	N/A
CAD000626176	Del Norte	09/08/1983	09/21/1984	06/18/1992	N/A	09/18/2002
CAD980496863	Fresno	09/08/1983	09/21/1984	09/02/1999	N/A	N/A
CAD980817217	Fresno	09/08/1983	09/21/1984	03/14/1995	N/A	04/24/1998
CAD980636914	Fresno	06/24/1988	10/04/1989	N/A	N/A	N/A
CAD980736284	Fresno	10/26/1989	08/30/1990	09/28/1999	N/A	N/A
CAD980736151	Fresno	12/30/1982	09/08/1983	N/A	N/A	N/A
CAD029452141	Fresno	12/30/1982	09/08/1983	01/26/2005	N/A	N/A
CAD009106220	Fresno	10/15/1984	06/10/1986	06/24/2004	N/A	08/21/2006
CAD980638860	Humboldt	12/30/1982	09/08/1983	09/29/1989	N/A	09/30/2003
CAD066635442	Imperial	07/29/1991	N/A	N/A	N/A	N/A
CAD052384021	Kern	06/24/1988	10/04/1989	N/A	N/A	N/A
CA1570024504	Kern , San Bernardino , and Los Angeles	07/14/1989	08/30/1990	N/A	N/A	N/A
CAD980893275	Lake	06/24/1988	08/30/1990	N/A	N/A	N/A
CAD055753370	Los Angeles	02/07/1992	06/14/2001	N/A	N/A	N/A
CAD029544731	Los Angeles	07/29/1991	09/25/1997	N/A	N/A	N/A
CA9800013030	Los Angeles	02/07/1992	10/14/1992	N/A	N/A	N/A
CAD008242711	Los Angeles	10/15/1984	10/04/1989	N/A	N/A	N/A
CAD042245001	Los Angeles	09/29/1998	01/19/1999	N/A	N/A	N/A
CAT080012024	Los Angeles	10/15/1984	06/10/1986	N/A	N/A	N/A
CAD980737092	Los Angeles	07/28/1998	01/19/1999	09/25/2007	N/A	N/A
CAD980894893	Los Angeles	10/15/1984	06/10/1986	N/A	N/A	N/A
CAD980894901	Los Angeles	10/15/1984	06/10/1986	N/A	N/A	N/A
CAD980894984	Los Angeles	10/15/1984	06/10/1986	05/20/2004	N/A	10/12/2004
CAD980894976	Los Angeles	10/15/1984	06/10/1986	N/A	N/A	N/A
CAD980677355	Los Angeles	09/08/1983	05/08/1984	N/A	N/A	N/A
CAD980818512	Los Angeles	09/08/1983	05/08/1984	N/A	N/A	N/A
CAD980818579	Los Angeles	09/08/1983	05/08/1984	N/A	N/A	N/A
CAD980817985	Los Angeles	09/08/1983	05/08/1984	N/A	N/A	N/A
CAD980884357	Los Angeles	06/10/1986	07/22/1987	08/12/2005	N/A	N/A
CAD063015887	Mendocino	12/30/1982	09/08/1983	N/A	N/A	N/A
CA3570024551	Merced	10/15/1984	07/22/1987	09/21/2006	N/A	N/A
CAD980498455	Monterey	06/24/1988	08/30/1990	N/A	N/A	N/A
CAD990793887	Monterey	10/15/1984	07/22/1987	12/24/1991	N/A	04/21/2005
CA7210020676	Monterey	07/14/1989	02/21/1990	N/A	N/A	N/A
CAD983618893	Nevada	09/29/1998	01/19/1999	N/A	N/A	N/A
CA6170023208	Orange	06/24/1988	02/21/1990	N/A	N/A	N/A
CAD980498695	Orange	12/30/1982	09/08/1983	06/30/1998	N/A	N/A
CAD981995947	Orange	07/29/1991	10/14/1992	08/31/2000	N/A	09/28/2004
CAD098229214	Riverside	07/27/2000	12/01/2000	N/A	N/A	N/A
CA4570024527	Riverside	07/14/1989	11/21/1989	N/A	N/A	N/A
CAT080012826	Riverside	12/30/1982	09/08/1983	N/A	N/A	N/A
