Date	Competition	Venue	Result	Score
21/2/03	Super League VIII	Knowsley Road	L	22-46
9/3/03	Super League VIII	Odsal Stadium	W	22-10
23/3/03	Super League VIII	Odsal Stadium	W	62-22
30/3/03	Super League VIII	Halton Stadium	W	26-18
6/4/03	Super League VIII	Odsal Stadium	W	32-8
18/4/03	Super League VIII	Odsal Stadium	W	48-24
2/5/03	Super League VIII	JJB Stadium	W	14-8
11/5/03	Super League VIII	Odsal Stadium	W	30-10
18/5/03	Super League VIII	McAlpine Stadium	W	52-6
23/5/03	Super League VIII	Odsal Stadium	W	48-22
1/6/03	Super League VIII	Odsal Stadium	L	12-22
8/6/03	Super League VIII	KC Stadium	W	26-20
15/6/03	Super League VIII	Wilderspool	W	24-20
21/6/03	Super League VIII	Odsal Stadium	L	22-35
27/6/03	Super League VIII	Odsal Stadium	L	0-35
6/7/03	Super League VIII	Belle Vue	W	30-18
11/7/03	Super League VIII	Shay Stadium	W	60-12
20/7/03	Super League VIII	Odsal Stadium	W	40-8
27/7/03	Super League VIII	The Jungle	W	40-20
30/7/03	Super League VIII	Griffin Park	W	60-6
3/8/03	Super League VIII	Odsal Stadium	W	30-16
8/8/03	Super League VIII	Headingley Stadium	W	18-16
16/8/03	Super League VIII	Odsal Stadium	W	36-22
25/8/03	Super League VIII	JJB Stadium	L	12-26
31/8/03	Super League VIII	Griffin Park	W	54-12
7/9/03	Super League VIII	Odsal Stadium	W	22-21
14/9/03	Super League VIII	Odsal Stadium	L	14-28
19/9/03	Super League VIII	Knowsley Road	W	22-18
