Pick #	Player	Nationality	Position	League from
182	Erik Haula	Finland	LW	Midget Major AAA
183	Kirill Gotovets	Belarus	D	Midget Major AAA
184	Gus Young	United States	D	United States High School-Massachusetts
185	Levko Koper	Canada	LW	WHL
186	Jordan Nolan	Canada	C	OHL
187	Steven Anthony	Canada	LW	QMJHL
188	Barron Smith	United States	D	OHL
189	Marek Viedensky	Slovakia	C	WHL
190	Brad Peltz	United States	LW	United States High School-Connecticut
191	Michael Sdao	United States	D	USHL
192	Nic Rusak	Canada	C	BCHL
193	Anthony Hamburg	United States	C	EHL
194	Maxime Legault	Canada	RW	QMJHL
195	Paul Phillips	United States	D	USHL
196	Oliver Lauridsen	Denmark	D	WCHA
197	Kyle Neuber	Canada	RW	OHL
198	Nic Dowd	United States	C	North American Hockey League
199	Michael Cichy	United States	C	USHL
200	Mikhail Pashnin	Russia	D	Russian Major League
201	Gaelan Patterson	Canada	C	WHL
202	Maxwell Tardy	United States	C	United States High School-Minnesota
203	Jordan Samuels-Thomas	United States	LW	USHL
204	Curtis Gedig	Canada	D	BCHL
205	Benjamin Casavant	Canada	LW	QMJHL
206	Ben Sexton	Canada	C	CCHL
207	Dominik Bielke	Germany	D	Deutsche Eishockey Liga (Germany)
208	Tommi Kivisto	Finland	D	WHL
209	David Gilbert	Canada	C	QMJHL
210	Adam Almqvist	Sweden	D	J20 SuperElit (Sweden)
211	Petteri Simila	Finland	G	Jr. A SM-Liiga (Finland)
