Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1928	Alan Titherley	R. Finch	J. D. M. McCallum Alan Titherley	Thompson-Smith Reid	F. L. Treasure Meredith
1929	T. P. Dick	Margaret Tragett	F. J. Treasure F. B. Malthouse	Marian Horsley L. W. Myers	T. P. Dick Hazel Hogarth
1930	Donald Hume	Dorothy Colpoys	Donald Hume Ralph Nichols	Marian Horsley L. W. Myers	T. P. Dick Hazel Hogarth
1931	T. P. Dick	Dorothy Colpoys	T. P. Dick W. Basil Jones	Marian Horsley L. W. Myers	T. P. Dick Hazel Hogarth
1932	W. Hamilton	Thelma Kingsbury	Artur Hamilton W. Hamilton	Hazel Hogarth Thelma Kingsbury	Ralph Nichols N. Coop
1933	W. Hamilton	Alice Woodroffe	Donald Hume Raymond M. White	L. W. Myers Alice Woodroffe	T. P. Dick Hazel Hogarth
1934	W. Hamilton	Betty Uber	Donald Hume Raymond M. White	Betty Uber Thelma Kingsbury	Donald Hume Betty Uber
1935	Raymond M. White	Thelma Kingsbury	W. Hamilton Ian Maconachie	Betty Uber Thelma Kingsbury	B. P. Cook Betty Uber
1936	Raymond M. White	Thelma Kingsbury	Raymond M. White Ian Maconachie	Betty Uber Thelma Kingsbury	Ian Maconachie Marian Horsley
1937	T. P. Dick	G. Graham	H. Morland Kenneth Wilson	D. Graham G. Graham	Raymond M. White Thelma Kingsbury
1938	Raymond M. White	Daphne Young	T. P. Dick H. E. Baldwin	L. W. Myers Dorothy Colpoys	Thomas Boyle Olive Wilson
1939	Tage Madsen	Betty Uber	Thomas Boyle James Rankin	Betty Uber Diana Doveton	Thomas Boyle Olive Wilson
1940–1955	no competition	no competition	no competition	no competition	no competition
1956	James P. Doyle	H. B. Mercer	Desmond Lacey James P. Doyle	H. B. Mercer R. Smyth	Kenneth Carlisle R. Smyth
1957	Oon Chong Teik	Maggie McIntosh	Kenneth Derrick A. R. V. Dolman	J. A. Russell Maggie McIntosh	Kenneth Derrick B. Maxwell
1958	Oon Chong Jin	Mary O'Sullivan	Kenneth Derrick A. R. V. Dolman	June Timperley Patricia Dolan	Oon Chong Jin June Timperley
1959	Hugh Findlay	Heather Ward	Tony Jordan Hugh Findlay	Heather Ward P. E. Broad	Hugh Findlay Heather Ward
1960–1966	no competition	no competition	no competition	no competition	no competition
1967	Roger Mills	Mary Thompson	Roger Mills Robert McCoig	M. Withers Betty Fisher	Robert McCoig Coig
1968	Roger Mills	Julie Charles	Roger Mills J. G. Pearson	Julie Charles Angela Dickson	Roger Mills Julie Charles
1969	Howard Jennings	Angela Dickson	Mike Tredgett A. Finch	J. Masters R. Gerrish	Howard Jennings Angela Dickson
1970	Howard Jennings	Angela Dickson	Howard Jennings A. Fisher	Angela Dickson Betty Fisher	Howard Jennings Angela Dickson
1971	no competition	no competition	no competition	no competition	no competition
1972	Mike Tredgett	Betty Fisher	P. Smith William Kidd	Angela Dickson Betty Fisher	Mike Tredgett Kathleen Whiting
1973	John Gardner	Barbara Beckett	John McCloy Peter Moore	Anne Forrest Kathleen Whiting	Clifford McIlwaine Barbara Beckett
1974	Michael Wilkes	Barbara Beckett	Michael Wilkes Alan Connor	Barbara Beckett Sue Alfieri	Michael Wilkes Anne Forrest
1975	Michael Wilkes	Anne Statt	Michael Wilkes Alan Connor	Anne Statt Margo Winter	Alan Connor Margo Winter
1976	Kevin Jolly	Pat Davies	Tim Stokes Kevin Jolly	Angela Dickson Sue Brimble	Howard Jennings Angela Dickson
1977	David Eddy	Paula Kilvington	David Eddy Eddy Sutton	Anne Statt Jane Webster	David Eddy Barbara Giles
1978	Mike Tredgett	Gillian Gilks	David Eddy Eddy Sutton	Barbara Sutton Marjan Ridder	Elliot Stuart Gillian Gilks
1979	Kevin Jolly	Nora Perry	Ray Stevens Mike Tredgett	Barbara Sutton Nora Perry	Mike Tredgett Nora Perry
1980	Thomas Kihlström	Jane Webster	Thomas Kihlström Bengt Fröman	Jane Webster Karen Puttick	Billy Gilliland Karen Puttick
1981	Ray Stevens	Gillian Gilks	Ray Stevens Mike Tredgett	Gillian Gilks Paula Kilvington	Mike Tredgett Nora Perry
1982	Steve Baddeley	Karen Bridge	David Eddy Eddy Sutton	Karen Chapman Sally Podger	Billy Gilliland Karen Chapman
1983	Steve Butler	Sally Podger	Mike Tredgett Dipak Tailor	Nora Perry Jane Webster	Dipak Tailor Nora Perry
1984	Steve Butler	Karen Beckman	Mike Tredgett Martin Dew	Helen Troke Karen Chapman	Mike Tredgett Karen Chapman
1985	Morten Frost	Charlotte Hattens	Billy Gilliland Dan Travers	Gillian Gilks Helen Troke	Martin Dew Gillian Gilks
1986	Darren Hall	Fiona Elliott	Martin Dew Dipak Tailor	Karen Beckman Sara Halsall	Jesper Knudsen Nettie Nielsen
1987	Darren Hall	Fiona Elliott	Martin Dew Darren Hall	Karen Beckman Sara Halsall	Martin Dew Gillian Gilks
1988	Vimal Kumar	Lee Jung-mi	Richard Outterside Mike Brown	Fiona Elliott Sara Halsall	Martin Dew Gillian Gilks
1989	Darren Hall	Bang Soo-hyun	Nick Ponting Dave Wright	Karen Beckman Sara Sankey	Mike Brown Jillian Wallwork
1990	Mathew Smith	Joanne Muggeridge	Nick Ponting Dave Wright	Karen Chapman Sara Sankey	Dave Wright Claire Palmer
1991	Vimal Kumar	Denyse Julien	Nick Ponting Dave Wright	Cheryl Johnson Julie Bradbury	Nick Ponting Joanne Wright
1992	Wei Yan	Fiona Smith	Michael Adams Chris Rees	Denyse Julien Doris Piché	Andy Goode Joanne Wright
1993	Anders Nielsen	Sue Louis Lane	Nick Ponting Dave Wright	Julie Bradbury Sara Sankey	Nick Ponting Joanne Wright
1994	Darren Hall	Marina Andrievskaya	Michael Adams Simon Archer	Julie Bradbury Joanne Wright	Chris Hunt Joanne Wright
1995	Peter Rasmussen	Denyse Julien	Andrei Andropov Nikolai Zuyev	Julie Bradbury Joanne Wright	Nick Ponting Joanne Wright
1996	Colin Haughton	Elena Rybkina	Andrei Andropov Nikolai Zuyev	Elena Rybkina Marina Yakusheva	Nikolai Zuyev Marina Yakusheva
1997	Chris Bruil	Kelly Morgan	Ian Pearson James Anderson	Nicole van Hooren Brenda Conijn	Quinten van Dalm Nicole van Hooren
1998	Dicky Palyama	Brenda Beenhakker	James Anderson Ian Sullivan	Sara Sankey Ella Tripp	James Anderson Sara Sankey
1999	Daniel Eriksson	Marina Andrievskaya	Joachim Tesche Jean-Philippe Goyette	Marina Andrievskaya Catrine Bengtsson	Henrik Andersson Marina Andrievskaya
