Rank	Subdivision name	Country	Area (km²)	Population
1	Sakha Republic	Russia	3,103,200	958,300
2	State of Western Australia	Australia	2,645,615	2,410,600
3	Krasnoyarsk Krai	Russia	2,339,700	2,828,200
4	Greenland	Denmark	2,166,086	56,615
5	Territory of Nunavut	Canada	2,093,190	33,303
6	State of Queensland	Australia	1,852,642	4,516,361
7	State of Alaska	United States	1,717,854	710,231
8	Xinjiang Uyghur Autonomous Region	China	1,660,000	21,813,334
9	State of Amazonas	Brazil	1,570,947	3,480,937
10	Province of Québec	Canada	1,542,056	7,988,575
11	Northern Territory	Australia	1,420,968	229,675
12	Northwest Territories	Canada	1,346,106	43,529
13	State of Pará	Brazil	1,253,164	7,588,078
14	Tibet Autonomous Region	China	1,228,400	3,002,166
15	Inner Mongolia Autonomous Region	China	1,183,000	24,706,321
16	Province of Ontario	Canada	1,076,395	13,210,667
17	State of South Australia	Australia	1,043,514	1,644,642
18	Province of British Columbia	Canada	948,596	4,510,858
19	State of Mato Grosso	Brazil	906,807	3,033,991
20	State of New South Wales	Australia	809,444	7,238,819
21	Khabarovsk Krai	Russia	788,600	1,344,200
22	Irkutsk Oblast	Russia	767,900	2,428,700
23	Yamalo-Nenets Autonomous Okrug	Russia	750,300	522,800
24	Chukotka Autonomous Okrug	Russia	737,700	50,500
25	Qinghai Province	China	721,000	5,626,722
26	State of Texas	United States	696,241	25,145,561
27	Eastern Province	Saudi Arabia	672,522	3,360,157
28	Province of Alberta	Canada	661,848	3,724,832
29	Province of Saskatchewan	Canada	651,036	1,053,960
30	Province of Manitoba	Canada	647,797	1,232,654
31	Agadez Region	Niger	634,209	321,639
33	State of Minas Gerais	Brazil	586,528	19,595,309
34	State of Bahia	Brazil	564,273	14,021,432
32	Tamanrasset Province	Algeria	556,200	198,691
35	Khanty–Mansi Autonomous Okrug	Russia	523,100	1,532,000
36	Orientale Province	Democratic Republic of the Congo	503,239	5,566,000
37	Katanga Province	Democratic Republic of the Congo	496,871	4,125,000
38	Tombouctou Region	Mali	496,611	681,691
39	Sichuan Province	China	485,000	80,418,200
40	Territory of Yukon	Canada	482,443	34,246
41	Kufra District	Libya	479,160	50,104
42	Kamchatka Krai	Russia	472,300	321,800
43	Magadan Oblast	Russia	461,400	157,000
44	Heilongjiang Province	China	460,000	38,312,224
45	Gansu Province	China	454,000	25,575,254
46	Adrar Province	Algeria	443,782	402,197
47	New Valley Governorate	Egypt	440,098	208,000
48	Zabaykalsky Krai	Russia	431,500	1,106,600
49	Qaraghandy Province	Kazakhstan	428,000	1,375,000
50	State of California	United States	423,970	37,253,956
