Outcome	Date	Tournament	Surface	Partner	Opponents in Final	Score in Final
Winner	1 May 1988	Taranto , Italy	Clay	Andrea Betzner	Laura Garrone Helen Kelesi	6–1, 6–2
Runner-up	22 May 1988	European Open , Switzerland	Clay	Maria Lindström	Christiane Jolissaint Dianne Van Rensburg	1–6, 3–6
Runner-up	5 November 1989	Indianapolis , USA	Hard	Larisa Savchenko	Katrina Adams Lori McNeil	4–6, 4–6
Winner	25 August 1991	Schenectady , New York, USA	Hard	Rachel McQuillan	Nicole Arendt Shannan McCarthy	6–2, 6–4
Runner-up	9 February 1992	Faber Grand Prix , Essen , Germany	Carpet	Sabine Appelmans	Katerina Maleeva Barbara Rittner	5–7, 3–6
Runner-up	16 February 1992	Linz , Austria	Hard (i)	Raffaella Reggi-Concato	Miriam Oremans Monique Kiene	6–4, 6–2
Winner	29 August 1993	Schenectady , New York, USA	Hard	Rachel McQuillan	Florencia Labat Barbara Rittner	4–6, 6–4, 6–2
Winner	17 October 1993	Montpellier , France	Carpet	Meredith McGrath	Janette Husárová Dominique Monami	3–6, 6–2, 7–6
Winner	8 January 1995	Jakarta , Indonesia	Hard	Irina Spîrlea	Laurence Courtois Nancy Feber	6–2, 6–3
Winner	30 September 1995	China Open , Beijing, China	Hard	Linda Wild	Stephanie Rottier Shi-Ting Wang	6–1, 6–0
