Place	Player	Country	Score	To par	Money ( $ )
1	Phil Mickelson	United States	70-72-70-69=281	–7	1,260,000
2	Tim Clark	South Africa	70-72-72-69=283	–5	756,000
T3	Chad Campbell	United States	71-67-75-71=284	–4	315,700
T3	Fred Couples	United States	71-70-72-71=284	–4	315,700
T3	Retief Goosen	South Africa	70-73-72-69=284	–4	315,700
T3	José María Olazábal	Spain	76-71-71-66=284	–4	315,700
T3	Tiger Woods	United States	72-71-71-70=284	–4	315,700
T8	Ángel Cabrera	Argentina	73-74-70-68=285	–3	210,000
T8	Vijay Singh	Fiji	67-74-73-71=285	–3	210,000
10	Stewart Cink	United States	72-73-71-70=286	–2	189,000
