Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Morriston RFC	22	16	2	4	575	261	82	32	9	2	79
Crymych RFC	22	15	0	7	500	323	64	43	7	3	70
Hendy RFC	22	12	1	9	599	406	83	55	8	3	61
Tenby United RFC	22	13	2	7	364	267	41	28	2	2	60
Llandeilo RFC	22	12	3	7	340	291	37	37	3	3	60
Pontarddulais RFC	22	10	2	10	387	344	58	48	7	5	56
Trimsaran RFC	22	10	2	10	319	283	43	29	2	6	52
Birchgrove RFC	22	9	2	11	453	475	63	60	7	2	49
Pembroke RFC	22	7	2	13	286	453	36	61	4	5	41
Tycroes RFC	22	8	2	12	335	544	40	80	2	1	39
Neyland RFC	22	6	1	15	299	513	40	71	3	2	31
Milford Haven RFC	22	4	1	17	300	597	45	88	3	4	25
