Week	Date	Opponent	Result	Attendance
1	September 19, 1977	at Pittsburgh Steelers	L 27-0	48,046
2	September 25, 1977	Miami Dolphins	L 19-15	40,503
3	October 2, 1977	at Los Angeles Rams	L 34-14	55,466
4	October 9, 1977	Atlanta Falcons	L 7-0	38,009
5	October 16, 1977	at New York Giants	L 20-17	70,366
6	October 23, 1977	Detroit Lions	W 28-7	39,392
7	October 30, 1977	Tampa Bay Buccaneers	W 20-10	34,700
8	November 6, 1977	at Atlanta Falcons	W 10-3	46,577
9	November 13, 1977	at New Orleans Saints	W 10-7	41,564
10	November 20, 1977	Los Angeles Rams	L 23-10	56,779
11	November 27, 1977	New Orleans Saints	W 20-17	33,702
12	December 4, 1977	at Minnesota Vikings	L 28-27	40,745
13	December 12, 1977	Dallas Cowboys	L 42-35	55,851
14	December 18, 1977	at Green Bay Packers	L 16-14	44,902
