Townland	Area( acres )	Barony	Civil parish	Poor law union
Acres	275	East Carbery (W.D.)	Fanlobbus	Dunmanway
Adam's Island	1	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Aghalinane	305	East Carbery (W.D.)	Kinneigh	Dunmanway
Aghatubrid Beg	156	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Aghatubrid More	274	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Ahakeera	620	East Carbery (W.D.)	Fanlobbus	Dunmanway
Anaharlick	353	East Carbery (W.D.)	Kinneigh	Dunmanway
Annees	454	East Carbery (W.D.)	Fanlobbus	Dunmanway
Ardagh East	430	East Carbery (W.D.)	Ross	Clonakilty
Ardagh West	143	East Carbery (W.D.)	Ross	Clonakilty
Ardcahan	824	East Carbery (W.D.)	Fanlobbus	Dunmanway
Ardkilleen	405	East Carbery (W.D.)	Kinneigh	Dunmanway
Ardogeena	171	East Carbery (W.D.)	Durrus	Bantry
Aultagh	293	East Carbery (W.D.)	Kilmichael	Dunmanway
Aultaghreagh	206	East Carbery (W.D.)	Kilmichael	Dunmanway
Ballaghanure	207	East Carbery (W.D.)	Kinneigh	Dunmanway
Ballinaclogh	210	East Carbery (W.D.)	Ross	Clonakilty
Ballingurteen	157	East Carbery (W.D.)	Kilmeen	Dunmanway
Ballinvard	199	East Carbery (W.D.)	Kilmeane	Clonakilty
Ballyhalwick	576	East Carbery (W.D.)	Fanlobbus	Dunmanway
Ballyhoulahan	77	East Carbery (W.D.)	Ross	Clonakilty
Ballyroe	271	East Carbery (W.D.)	Kilmacabea	Skibbereen
Ballyvelone East	256	East Carbery (W.D.)	Kinneigh	Dunmanway
Ballyvelone West	422	East Carbery (W.D.)	Kinneigh	Dunmanway
Ballyvireen	287	East Carbery (W.D.)	Ross	Clonakilty
Balteenbrack	432	East Carbery (W.D.)	Fanlobbus	Dunmanway
Barleyhill East	348	East Carbery (W.D.)	Ross	Clonakilty
Barleyhill West	306	East Carbery (W.D.)	Ross	Clonakilty
Behagh	497	East Carbery (W.D.)	Fanlobbus	Dunmanway
Behaguliane	810	East Carbery (W.D.)	Fanlobbus	Dunmanway
Belrose Lower	226	East Carbery (W.D.)	Kinneigh	Bandon
Belrose Upper	433	East Carbery (W.D.)	Kinneigh	Bandon
Benduff	432	East Carbery (W.D.)	Ross	Clonakilty
Bohonagh	368	East Carbery (W.D.)	Ross	Clonakilty
Brookpark	78	East Carbery (W.D.)	Fanlobbus	Dunmanway
Brulea	167	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Buckree	183	East Carbery (W.D.)	Kinneigh	Dunmanway
Burgatia	742	East Carbery (W.D.)	Ross	Clonakilty
Caher	315	East Carbery (W.D.)	Kilmeen	Clonakilty
Caher	616	East Carbery (W.D.)	Kinneigh	Dunmanway
Caherbeg	375	East Carbery (W.D.)	Rathbarry	Clonakilty
Caherkirky	434	East Carbery (W.D.)	Kilmeen	Clonakilty
Cahermore	488	East Carbery (W.D.)	Ross	Clonakilty
Cappadineen	106	East Carbery (W.D.)	Fanlobbus	Dunmanway
Cappeen East	435	East Carbery (W.D.)	Kinneigh	Dunmanway
Cappeen West	315	East Carbery (W.D.)	Kinneigh	Dunmanway
Carhoogarriff	401	East Carbery (W.D.)	Kilmacabea	Skibbereen
Carrigagrenane	470	East Carbery (W.D.)	Ross	Clonakilty
Carrigbaun	285	East Carbery (W.D.)	Kilmacabea	Skibbereen
Carrigfadda	614	East Carbery (W.D.)	Ross	Clonakilty
Carriglusky	63	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Carrigskullihy	381	East Carbery (W.D.)	Fanlobbus	Dunmanway
Cashel	448	East Carbery (W.D.)	Kilmacabea	Skibbereen
Castlelands	224	East Carbery (W.D.)	Kinneigh	Bandon
Castletown	464	East Carbery (W.D.)	Kinneigh	Dunmanway
Castleventry	544	East Carbery (W.D.)	Castleventry	Clonakilty
Clash	91	East Carbery (W.D.)	Kinneigh	Dunmanway
Clashatarriff	274	East Carbery (W.D.)	Castleventry	Clonakilty
Clashnacrona East	181	East Carbery (W.D.)	Fanlobbus	Dunmanway
Clashnacrona West	286	East Carbery (W.D.)	Fanlobbus	Dunmanway
Clogher	442	East Carbery (W.D.)	Inchigeelagh	Dunmanway
Clonomara	207	East Carbery (W.D.)	Kinneigh	Dunmanway
Cloonareague	82	East Carbery (W.D.)	Kinneigh	Dunmanway
Clooncorban	272	East Carbery (W.D.)	Kilmeen	Clonakilty
Cloonies East	127	East Carbery (W.D.)	Fanlobbus	Dunmanway
Cloonkeen East	151	East Carbery (W.D.)	Kilmacabea	Skibbereen
Cloonkirgeen	361	East Carbery (W.D.)	Kilmeen	Dunmanway
Cloonties West	180	East Carbery (W.D.)	Fanlobbus	Dunmanway
Cloontiquirk	276	East Carbery (W.D.)	Fanlobbus	Dunmanway
Connagh	309	East Carbery (W.D.)	Kinneigh	Dunmanway
Coolabaun	107	East Carbery (W.D.)	Kinneigh	Dunmanway
Cooladereen	157	East Carbery (W.D.)	Kilmacabea	Skibbereen
Coolcaum	230	East Carbery (W.D.)	Inchigeelagh	Dunmanway
Coolcraheen	265	East Carbery (W.D.)	Castleventry	Clonakilty
Cooleenagow	185	East Carbery (W.D.)	Fanlobbus	Dunmanway
Coolkellure	545	East Carbery (W.D.)	Fanlobbus	Dunmanway
Coolmountain	963	East Carbery (W.D.)	Inchigeelagh	Dunmanway
Coolnaconarty	128	East Carbery (W.D.)	Kilkerranmore	Dunmanway
Coolnaconarty	268	East Carbery (W.D.)	Kilmeen	Dunmanway
Coolnagay	315	East Carbery (W.D.)	Castleventry	Clonakilty
Coolshinagh	181	East Carbery (W.D.)	Kilbrittain	Bandon
Coolsnaghtig	613	East Carbery (W.D.)	Fanlobbus	Dunmanway
Coom	455	East Carbery (W.D.)	Fanlobbus	Dunmanway
Coonties	358	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Cooranig	652	East Carbery (W.D.)	Fanlobbus	Dunmanway
Coorycullane	202	East Carbery (W.D.)	Fanlobbus	Dunmanway
Corran Middle	191	East Carbery (W.D.)	Kilmacabea	Skibbereen
Corran North	473	East Carbery (W.D.)	Kilmacabea	Skibbereen
Corran South	509	East Carbery (W.D.)	Kilmacabea	Skibbereen
Cregg	190	East Carbery (W.D.)	Kilfaughnabeg	Clonakilty
Creggane	84	East Carbery (W.D.)	Ross	Clonakilty
Crushterra	361	East Carbery (W.D.)	Kilmichael	Dunmanway
Cullane East	288	East Carbery (W.D.)	Kilmacabea	Skibbereen
Cullane West	165	East Carbery (W.D.)	Kilmacabea	Skibbereen
Cullenagh	821	East Carbery (W.D.)	Fanlobbus	Dunmanway
Currabwee	469	East Carbery (W.D.)	Drinagh	Dunmanway
Curradrinagh	598	East Carbery (W.D.)	Kilmichael	Dunmanway
Curraghnaloughra	356	East Carbery (W.D.)	Drinagh	Skibbereen
Curraheen	86	East Carbery (W.D.)	Ross	Clonakilty
Darkwood	70	East Carbery (W.D.)	Fanlobbus	Dunmanway
Demesne	279	East Carbery (W.D.)	Fanlobbus	Dunmanway
Derragh	781	East Carbery (W.D.)	Fanlobbus	Dunmanway
Derreen	252	East Carbery (W.D.)	Kilmeen	Dunmanway
Derreens	363	East Carbery (W.D.)	Fanlobbus	Dunmanway
Derrigra	231	East Carbery (W.D.)	Kinneigh	Bandon
Derry	471	East Carbery (W.D.)	Ross	Clonakilty
Derrybaun	80	East Carbery (W.D.)	Castleventry	Clonakilty
Derryduff	519	East Carbery (W.D.)	Fanlobbus	Dunmanway
Derrylahan	509	East Carbery (W.D.)	Fanlobbus	Dunmanway
Derrynacaheragh	423	East Carbery (W.D.)	Fanlobbus	Dunmanway
Derrynasafagh	416	East Carbery (W.D.)	Fanlobbus	Dunmanway
Downeen	885	East Carbery (W.D.)	Ross	Clonakilty
Drinagh East	448	East Carbery (W.D.)	Drinagh	Dunmanway
Drinagh West	270	East Carbery (W.D.)	Drinagh	Dunmanway
Drom	211	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Dromavane	491	East Carbery (W.D.)	Murragh	Bandon
Drombeg	180	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Dromdeegy	385	East Carbery (W.D.)	Fanlobbus	Dunmanway
Dromdrasdil	1161	East Carbery (W.D.)	Fanlobbus	Dunmanway
Dromerk	279	East Carbery (W.D.)	Fanlobbus	Dunmanway
Dromfeagh	399	East Carbery (W.D.)	Kinneigh	Dunmanway
Dromidiclogh	293	East Carbery (W.D.)	Kinneigh	Dunmanway
Dromidiclogh West	312	East Carbery (W.D.)	Kinneigh	Dunmanway
Dromillihy	423	East Carbery (W.D.)	Kilmacabea	Skibbereen
Dromleena	692	East Carbery (W.D.)	Fanlobbus	Dunmanway
Dromlough	248	East Carbery (W.D.)	Kilmichael	Dunmanway
Dungannon	97	East Carbery (W.D.)	Kilmacabea	Skibbereen
Dunmanway North	336	East Carbery (W.D.)	Fanlobbus	Dunmanway
Dunmanway South	83	East Carbery (W.D.)	Fanlobbus	Dunmanway
Dunscullib	168	East Carbery (W.D.)	Kilmacabea	Skibbereen
English Island	7	East Carbery (W.D.)	Ross	Clonakilty
Eve Island	1	East Carbery (W.D.)	Kilfaughnabeg	Skibbereen
Farlehanes	213	East Carbery (W.D.)	Kilkerranmore	Dunmanway
Farlehanes	352	East Carbery (W.D.)	Kilmeen	Dunmanway
Farnanes	374	East Carbery (W.D.)	Fanlobbus	Dunmanway
Farranacounter	94	East Carbery (W.D.)	Ross	Clonakilty
Farranmareen	493	East Carbery (W.D.)	Kinneigh	Bandon
Farrannahineeny	230	East Carbery (W.D.)	Kilmichael	Dunmanway
Foxhall	390	East Carbery (W.D.)	Castleventry	Clonakilty
Freahanes	454	East Carbery (W.D.)	Ross	Clonakilty
Froe	743	East Carbery (W.D.)	Ross	Clonakilty
Gallane	243	East Carbery (W.D.)	Ross	Clonakilty
Gallanes	353	East Carbery (W.D.)	Kilnagross	Clonakilty
Garland	189	East Carbery (W.D.)	Kinneigh	Dunmanway
Garrane	133	East Carbery (W.D.)	Ross	Clonakilty
Garranecore	189	East Carbery (W.D.)	Ross	Clonakilty
Garranes	452	East Carbery (W.D.)	Fanlobbus	Dunmanway
Garrybaun	90	East Carbery (W.D.)	Fanlobbus	Dunmanway
Glan	395	East Carbery (W.D.)	Fanlobbus	Dunmanway
Glanbrack	534	East Carbery (W.D.)	Ross	Clonakilty
Glanycarney	1206	East Carbery (W.D.)	Kilmocomoge	Bantry
Glebe	26	East Carbery (W.D.)	Kilmeen	Clonakilty
Gortaleen	185	East Carbery (W.D.)	Kinneigh	Dunmanway
