Club	City	Stadium	Capacity	2007–08 season
Atalanta B.C.	Bergamo	Stadio Atleti Azzurri d'Italia	26,393	9th in Serie A
Bologna F.C. 1909	Bologna	Stadio Renato Dall'Ara	39,444	2nd in Serie B
Cagliari Calcio	Cagliari	Stadio Sant'Elia	23,486	14th in Serie A
Calcio Catania	Catania	Stadio Angelo Massimino	23,420	17th in Serie A
A.C. ChievoVerona	Verona	Stadio Marcantonio Bentegodi	39,211	Serie B Champions
ACF Fiorentina	Florence	Stadio Artemio Franchi, Florence	47,282	4th in Serie A
Genoa C.F.C.	Genoa	Stadio Luigi Ferraris	36,685	10th in Serie A
F.C. Internazionale Milano	Milan	Stadio Giuseppe Meazza	80,074	Serie A Champions
Juventus F.C.	Turin	Stadio Olimpico di Torino	27,500	3rd in Serie A
S.S. Lazio	Rome	Stadio Olimpico	72,700	12th in Serie A
U.S. Lecce	Lecce	Stadio Via del Mare	33,876	Serie B Playoff Winners
A.C. Milan	Milan	Stadio Giuseppe Meazza	80,074	5th in Serie A
S.S.C. Napoli	Naples	Stadio San Paolo	60,240	8th in Serie A
U.S. Città di Palermo	Palermo	Stadio Renzo Barbera	37,242	11th in Serie A
Reggina Calcio	Reggio Calabria	Stadio Oreste Granillo	27,454	16th in Serie A
A.S. Roma	Rome	Stadio Olimpico	72,700	2nd in Serie A
U.C. Sampdoria	Genoa	Stadio Luigi Ferraris	36,685	6th in Serie A
A.C. Siena	Siena	Stadio Artemio Franchi, Siena	15,373	13th in Serie A
Torino F.C.	Turin	Stadio Olimpico di Torino	27,500	15th in Serie A
Udinese Calcio	Udine	Stadio Friuli	41,652	7th in Serie A
