Position	Jersey #	Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	2007–2008 Team
G	31	Craig Anderson	188	79	May 21, 1981	Park Ridge, Illinois	Florida Panthers
G	35	Robert Esche	188	102	January 22, 1978	Whitesboro, New York	Ak Bars Kazan ( KHL )
G	30	Tim Thomas	180	91	April 15, 1974	Davison, Michigan	Boston Bruins
D	2	Keith Ballard	180	91	November 26, 1982	Baudette, Minnesota	Phoenix Coyotes
D	77	Tom Gilbert	191	95	January 10, 1983	Bloomington, Minnesota	Edmonton Oilers
D	6	Tim Gleason	183	98	January 29, 1983	Clawson, Michigan	Carolina Hurricanes
D	5	Matt Greene	191	101	May 13, 1983	Grand Ledge, Michigan	Edmonton Oilers
D	4	Jordan Leopold	185	91	August 3, 1980	Golden Valley, Minnesota	Colorado Avalanche
D	10	Paul Martin	187	77	March, 5 1981	Minneapolis, Minnesota	New Jersey Devils
D	22	Mark Stuart	188	97	April 27, 1984	Rochester, Minnesota	Boston Bruins
D	43	James Wisniewski	180	88	February 21, 1984	Canton, Michigan	Chicago Blackhawks
LW	7	David Booth	183	96	November 24, 1984	Detroit, Michigan	Florida Panthers
LW	83	Patrick Kane	178	81	November 19, 1988	Buffalo, New York	Chicago Blackhawks
LW	9	Patrick O'Sullivan	180	86	February 1, 1985	Toronto , Canada	L.A. Kings
LW	17	Zach Parise	180	86	July 28, 1984	Prior Lake, Minnesota	New Jersey Devils
C	16	Brandon Dubinsky	185	95	April 29, 1986	Anchorage, Alaska	New York Rangers
C	11	Jeff Halpern	183	90	May 3, 1976	Potomac, Maryland	Tampa Bay Lightning
C	88	Peter Mueller	188	93	April 14, 1988	Bloomington, Minnesota	Phoenix Coyotes
C	12	Lee Stempniak	183	88	February 4, 1983	West Seneca, New York	St. Louis Blues
RW	42	David Backes	188	98	May 1, 1984	Minneapolis	St. Louis Blues
RW	23	Dustin Brown	187	82	November, 4 1984	Ithaca, New York	L.A. Kings
RW	37	Adam Burish	185	91	January 6, 1983	Madison, Wisconsin	Chicago Blackhawks
RW	8	Phil Kessel	183	86	October, 2 1987	Madison, Wisconsin	Boston Bruins
RW	29	Jason Pominville	183	84	November 30, 1982	Repentigny, Quebec , Canada	Buffalo Sabres
RW	19	Drew Stafford	188	92	October 30, 1985	Milwaukee, Wisconsin	Buffalo Sabres
