Rank	Player	From	Transfer fee ( € million)	Year
1	Ruud van Nistelrooy	PSV	30.5	2001
2	Wesley Sneijder	Ajax	27	2007
2	Klaas-Jan Huntelaar	Ajax	27	2009
4	Luis Suárez	Ajax	26.5	2011
5	Kevin Strootman	PSV	20	2013
5	Afonso Alves	Heerenveen	20	2008
7	Arjen Robben	PSV	18.1	2004
8	Cristian Chivu	Ajax	18	2003
8	Dirk Kuyt	Feyenoord	18	2006
10	Jaap Stam	PSV	17	1998
10	Ryan Babel	Ajax	17	2007
12	Zlatan Ibrahimović	Ajax	16.9	2004
13	Miralem Sulejmani	Heerenveen	16.25	2008
14	Dennis Bergkamp	Ajax	16	1993
15	Ronaldo	PSV	15.5	1996
16	Luuk de Jong	Twente	15	2012
17	Wilfried Bony	Vitesse	14	2013
17	Balázs Dzsudzsák	PSV	14	2011
17	Royston Drenthe	Feyenoord	14	2007
17	Heurelho Gomes	PSV	14	2008
21	Christian Eriksen	Ajax	13,5	2013
22	Strootman & Mertens	Utrecht	13	2011
23	Salomon Kalou	Feyenoord	12.6	2006
24	Bryan Ruiz	Twente	12	2011
24	Ahmed Hossam	Ajax	12	2003
24	Thomas Vermaelen	Ajax	12	2009
24	Arouna Koné	PSV	12	2007
28	Frank de Boer	Ajax	11	1998
29	John Heitinga	Ajax	10	2008
29	Jefferson Farfán	PSV	10	2008
