Place	Player	Country	Score	To par	Money ( $ )
1	Ernie Els	South Africa	71-67-69-69=276	–4	465,000
2	Colin Montgomerie	Scotland	65-76-67-69=277	–3	275,000
3	Tom Lehman	United States	67-70-68-73=278	–2	172,828
4	Jeff Maggert	United States	73-66-68-74=281	+1	120,454
T5	Olin Browne	United States	71-71-69-71=282	+2	79,875
T5	Jim Furyk	United States	74-68-69-71=282	+2	79,875
T5	Jay Haas	United States	73-69-68-72=282	+2	79,875
T5	Tommy Tolles	United States	74-67-69-72=282	+2	79,875
T5	Bob Tway	United States	71-71-70-70=282	+2	79,875
T10	Scott Hoch	United States	71-68-72-72=283	+3	56,949
T10	Scott McCarron	United States	73-71-69-70=283	+3	56,949
T10	David Ogrin	United States	70-69-71-73=283	+3	56,949
