Name	Years	Area	Authority	Decile	Roll
Auroa School	1–8	Auroa	State	8	170
Eltham School	1–8	Eltham	State	3	172
Hawera Christian School	1–8	Hawera	State integrated	6	33
Hawera High School	9–15	Hawera	State	5	757
Hawera Intermediate	7–8	Hawera	State	5	334
Hawera Primary School	1–6	Hawera	State	4	215
Hurleyville School	1–6	Hurleyville	State	4	17
Kakaramea School	1–6	Kakaramea	State	5	62
Kaponga School	1–8	Kaponga	State	4	114
Manaia School	1–8	Manaia	State	4	126
Matapu School	1–8	Matapu	State	7	112
Mokoia School	1–6	Mokoia	State	7	19
Ngamatapouri School	1–8	Ngamatapouri	State	9	13
Normanby School	1–6	Normanby	State	4	157
Opunake High School	9–15	Opunake	State	4	305
Opunake School	1–8	Opunake	State	4	195
Patea Area School	1–15	Patea	State	1	146
Rahotu School	1–8	Rahotu	State	6	131
Ramanui School	1–6	Hawera	State	2	55
Rawhitiroa School	1–8	Rawhitiroa	State	6	35
St Joseph's School (Hawera)	1–8	Hawera	State integrated	6	291
St Joseph's School (Opunake)	1–8	Opunake	State integrated	6	129
St Joseph's School (Patea)	1–6	Patea	State integrated	1	22
St Patrick's School	1–8	Kaponga	State integrated	5	30
Tawhiti School	1–6	Hawera	State	4	258
Te Kura o Nga Ruahine Rangi	1–15	Mangatoki	State	3	14
Te Kura Kaupapa Maori o Ngati Ruanui	1–8	Hawera	State	1	55
Te Kura Kaupapa Maori o Tamarongo	1–8	Opunake	State	4	14
Turuturu School	1–6	Hawera	State	6	237
Waitotara School	1–8	Waitotara	State	2	15
Waverley Primary School	1–6	Waverley	State	3	145
Whenuakura School	1–6	Whenuakura	State	4	29
