Week #	Theme	Song choice	Original artist	Order #	Result
Audition	Auditioner's Choice	"Bulletproof Weeks"	Matt Nathanson	N/A	Advanced
Hollywood	First Solo	" Come Back to Me "	David Cook	N/A	Advanced
Hollywood	Group Round	" Get Ready "	The Temptations	N/A	Advanced
Hollywood	Second Solo	" Viva la Vida "	Coldplay	N/A	Eliminated
Top 24 (12 Men)	Billboard Hot 100 Hits	" Apologize "	OneRepublic	4	Safe
Top 20 (10 Men)	Billboard Hot 100 Hits	" Come On Get Higher "	Matt Nathanson	9	Safe
Top 16 (8 Men)	Billboard Hot 100 Hits	" Hallelujah "	Leonard Cohen	3	Safe
Top 12	The Rolling Stones	" Under My Thumb "	The Rolling Stones	7	Bottom 3
Top 11	Billboard #1 Hits	" Crazy Little Thing Called Love "	Queen	3	Bottom 3
Top 10	R&B / Soul	" Sweet Love "	Anita Baker	5	Bottom 3
Top 9	Lennon–McCartney	" All My Loving "	The Beatles	6	Safe
Top 9	Elvis Presley	" Can't Help Falling in Love "	Elvis Presley	3	Safe
