Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1986	Wang Junjie	Elinor Allen	Ross Glawin Alistair Baker	Kristin Magnusdottir Thordis Edwald	Alistair Baker Elinor Allen
1987	Broddi Kristjansson	Thordis Edwald	Broddi Kristjansson Thorstein P. Haengsson	Kristin Magnusdottir Thordis Edwald	Broddi Kristjansson Kristin Magnusdottir
1988	Chris Jogis	Gudrun Juliusdottir	Chris Jogis John Britton	Linda French Pam Owens	John Britton Pam Owens
1989	Broddi Kristjansson	Thordis Edwald	Broddi Kristjansson Thorsteinn P. Haengsson	Gudrun Juliusdottir Kristin Magnusdottir	Broddi Kristjansson Thordis Edwald
1990	Broddi Kristjansson	Gudrun Juliusdottir	Broddi Kristjansson Thorsteinn P. Haengsson	Paula Rip Inga Kjartansdottir	Thorsteinn P. Haengsson Inga Kjartansdottir
1991	Matthew Smith	Sun Xiaoqing	Armann Thorwaldsson Thorsteinn P. Haengsson	Kristin Magnusdottir Sun Xiaoqing	Broddi Kristjansson Sun Xiaoqing
1992	Mike Brown	Jenny Allen	Simon Archer Julia Robertson	Jenny Allen Elinor Allen	Ken Middlemiss Elinor Allen
1993	Steve Butler	Elsa Nielsen	Dave Wright Julien Robertson	Lorraine Thomas Kerry McKittrick	Dave Wright Lorraine Thomas
1994	Broddi Kristjansson	Elsa Nielsen	Arni Thor Hallgrimsson Broddi Kristjansson	Birna Petersen Gudrun Juliusdottir	Arni Thor Hallgrimsson Gudrun Juliusdottir
1995	Broddi Kristjansson	Elsa Nielsen	Arni Thor Hallgrimsson Broddi Kristjansson	Elsa Nielsen Vigdis Asgeirsdottir	Arni Thor Hallgrimsson Gudrun Juliusdottir
1996	Easmus Wengberg	Elsa Nielsen	Arni Thor Hallgrimsson Broddi Kristjansson	Elsa Nielsen Vigdis Asgeirsdottir	Arni Thor Hallgrimsson Vigdis Asgeirsdottir
1997	Niels Christian Kaldau	Christina Sorensen	Niels Christian Kaldau Joachim Fisher	Christina Sorensen Jane F. Bramsen	Joachim Fisher Jane F. Bramsen
1998	Steffan Pandya	Jill Pittard	Arni Thor Hallgrimsson Broddi Kristjansson	Tracy Dineen Lorraine Cole	Tomas Viborg Emma Gustafsson
1999	Rasmus Wengberg	Karolina Erikson	Fredrik Bergström Henrik Anderson	Vigdis Asgeirsdottir Drifa Hardardottir	Fredrik Bergström Jenny Karlsson
2000	Colin Haughton	Rebecca Pantaney	Peter Jeffrey David Lindley	Nataly Munt Lisa Parker	David Lindley Emma Chraffin
2001	Matthew Shuker	Elisabeth Cann	Jochen Cassel Ingo Kindervater	Vigdis Asgeirsdottir Ragna Ingolfsdottir	Thomas Laybourn Karina Sörensen
2002	Jan Fröhlich	Susan Hughes	Jochen Cassel Ingo Kindervater	Kirsteen Mcevan Yuan Wemyss	Peter Steffensen Stine Bergstrom
2003	Joachim Fischer Nielsen	Petya Nedelcheva	Joachim Fischer Nielsen Jesper Larsen	Petya Nedelcheva Neli Boteva	Simon Archer Donna Kellogg
2004	Bobby Milroy	Susan Hughes	Paul Trueman Ian Palethorpe	Lisa Parker Suzanne Rayappan	Peter Jeffrey Hayley Connor
2005	Jens Kristian Leth	Sara Persson	Anders Kristiansen Simon Mollyhus	Johanna Persson Elin Bergblom	Henri Hurskainen Johanna Person
2006	Magnus Sahlberg	Ragna Ingólfsdóttir	Christoffer Bruun Jensen Morten T. Kronborg	Imogen Bankier Emma Mason	Henri Hurskainen Emma Wengberg
2007	Petr Koukal	Ragna Ingólfsdóttir	Peter Hasbak Jonas Glyager Jensen	Katrín Atladóttir Ragna Ingólfsdóttir	Jonas Glyager Jensen Maria Kaaberböl Thorberg
2008	No competition	No competition	No competition	No competition	No competition
2009	Christian Lind Thomsen	Ragna Ingólfsdóttir	Anders Skaarup Rasmussen René Lindskow	Ragna Ingólfsdóttir Snjólaug Jóhannsdóttir	Theis Christiansen Joan Christiansen
2010	Kim Bruun	Ragna Ingólfsdóttir	Emil Holst Mikkel Mikkelsen	Katrín Atladóttir Ragna Ingólfsdóttir	Frederik Colberg Mette Poulsen
2011	Mathias Borg	Ragna Ingólfsdóttir	Thomas Dew-Hattens Mathias Kany	Tinna Helgadóttir Snjólaug Jóhannsdóttir	Thomas Dew-Hattens Louise Hansen
2012	Chou Tien-chen	Chiang Mei-hui	Joe Morgan Nic Strange	Lee So-hee Shin Seung-chan	Chou Tien-chen Chiang Mei-hui
