Year	Champions	Result	Runners-up	Playoffs MVP
1997	Busan Kia Enterprise	4–1	Wonju Naray Blue Bird	Kang Dong-Hee ( Kia )
1998	Daejeon Hyundai Dynat	4–3	Busan Kia Enterprise	Hur Jae ( Kia )
1999	Daejeon Hyundai Dynat	4–1	Busan Kia Enterprise	Cho Sung-Won ( Hyundai )
2000	Cheongju SK Knights	4–2	Daejeon Hyundai Gullivers	Seo Jang-Hoon ( SK )
2001	Suwon Samsung Thunders	4–1	Changwon LG Sakers	Joo Hee-Jung ( Samsung )
2002	Daegu Tongyang Orions	4–3	Seoul SK Knights	Marcus Hicks ( Tongyang )
2003	Wonju TG Xers	4–2	Daegu Tongyang Orions	David Jackson ( TG )
2004	Jeonju KCC Egis	4–3	Wonju TG Sambo Xers	Lee Sang-Min ( KCC )
2005	Wonju TG Sambo Xers	4–2	Jeonju KCC Egis	Kim Joo-Sung ( TG Sambo )
2006	Seoul Samsung Thunders	4–0	Ulsan Mobis Phoebus	Kang Hyuk ( Samsung )
2007	Ulsan Mobis Phoebus	4–3	Busan KTF Magic Wings	Yang Dong-Geun ( Mobis )
2008	Wonju Dongbu Promy	4–1	Seoul Samsung Thunders	Kim Joo-Sung ( Dongbu )
2009	Jeonju KCC Egis	4–3	Seoul Samsung Thunders	Choo Seung-Kyun ( KCC )
2010	Ulsan Mobis Phoebus	4–2	Jeonju KCC Egis	Ham Ji-Hoon ( Mobis )
2011	Jeonju KCC Egis	4–2	Wonju Dongbu Promy	Ha Seung-Jin ( KCC )
