Round	Pick #	Overall	Name	Position	College
1	3	3	Claude Humphrey	Defensive End	Tennessee State
2	2	29	Carlton Dabney	Defensive Tackle	Morgan State
2	26	53	John Wright	Wide Receiver	Illinois
6	2	140	Jim Hagle	Running Back	SMU
6	9	147	Joe Wynns	Defensive Back	South Carolina State
6	24	162	Rick Eber	Wide Receiver	Tulsa
8	2	194	Ray Jeffords	Tight End	Georgia
9	2	221	Henry Holland	Center	North Texas State
10	2	248	Mike Tomasini	Defensive Tackle	Colorado State
11	2	275	Greg Brezina	Linebacker	Houston
12	2	302	A.J. Vaughn	Running Back	Wayne State
13	2	329	Billy Harris	Running Back	Colorado
14	2	356	Joe Polk	Running Back	Livingstone
15	2	383	Don Bean	Wide Receiver	Houston
16	2	410	Roy Hall	Offensive Tackle	San Jose State
17	2	437	Jim Schmidt	Defensive Back	Cal State-San Francisco
