Rank	Name	Height m / ft	Floors	Year
01.0 1	Shanghai World Financial Center	492 / 1,614	101	2008
02.0 —	Oriental Pearl Tower [B ]	468 / 1,535	14	1994
03.0 2	Jin Mao Tower	421 / 1,380	88	1998
04.0 3	Shimao International Plaza	333 / 1,093	60	2005
08.0 4	Shanghai Wheelock Square	297 / 974.5	58	2010
05.0 5	Plaza 66	288 / 945	66	2001
06.0 6	Tomorrow Square	285 / 934	55	2003
07.0 7	Hong Kong New World Tower	278 / 913	61	2002
08.0 8	One Lujiazui	269 / 869	53	2008
09.0 9	Bocom Financial Towers	265 / 869	52	2002
10.0 10=	Grand Gateway Shanghai I	262 / 860	52	2005
11.0 10=	Grand Gateway Shanghai II	262 / 860	52	2005
12.0 12	IFC North Tower	260 / 853	56	2010
12.0 13	Huamin King Tower	258 / 846	63	2011
12.0 14	Bank of Shanghai Headquarters	252 / 827	46	2005
13.0 15	IFC South Tower	250 / 820	58	2009
13.0 16	Maxdo Centre	241 / 792	55	2002
14.0 17	Renaissance Shanghai Zhongshan Park Hotel	238 / 781	60	2006
15.0 18	International Ocean Shipping Building	232 / 763	50	2000
16.0 19	Plaza 66 Tower 2	228 / 749	45	2006
17.0 20=	Oasis Skyway Garden Hotel	226 / 742	52	2007
18.0 20=	Bank of China Tower	226 / 741	53	2000
19.0 22	Raffles Square	222 / 728	49	2003
20.0 23=	Zhongrong Jasper Tower	220/722	48	2008
20.0 23=	BM Plaza	220 / 722	50	2009
20.0 25=	CITIC Pacific HQ	219 / 887	49	2010
20.0 25=	Mandarin Oriental	219 / 887	49	2010
21.0 27	Changfeng Hotel	218 / 715	53	2005
22.0 28	Shanghai Dong Hai Plaza	217 / 712	52	2004
23.0 29=	World Finance Tower	212 / 696	43	2000
24.0 29=	King Tower	212 / 696	38	1996
25.0 31	Pudong International Information Port	211 / 692	40	2001
26.0 32	21st Century Mansion	210 / 689	49	2009
27.0 33	Sofitel Jin Jiang Oriental Pudong Hotel	207 / 679	47	2002
31.0 34=	Golden Bell Mansion	208 / 682	42	1998
32.0 34=	Radisson Hotel Shanghai New World	208 / 682	46	2005
32.0 34=	Taiping Financial Tower	208 / 682	38	2011
32.0 34=	China Merchants Bank Mansion	208 / 682	37	2011
28.0 38	Golden Landmark	206 / 676	41	2008
28.0 39	Nan Zheng Building	205 / 673	49	1998
29.0 40	Lippo Plaza	204 / 669	38	1998
30.0 41	Shanghai Sen Mao International Building	203 / 667	46	1998
29.0 42=	Huaxia Financial Square Tower A	202 / 663	42	2003
30.0 42=	Huaxia Financial Square Tower B	202 / 663	42	2005
32.0 44=	Park Place	200 / 656	43	2008
55.0 44=	Shanghai World Plaza	200 / 656	38	1997
33.0 46	World Plaza Shanghai	199 / 653	38	1998
34.0 47=	Bea Financial Tower	198 / 650	42	2009
34.0 47=	Bund Center	198 / 650	45	2002
35.0 49	Wenxin United Press Building	197 / 646	43	1999
36.0 50=	Lan Sheng Building	196 / 643	39	1997
37.0 50=	China Insurance Building	196 / 643	38	1999
38.0 50=	The Center	196 / 643	45	2004
39.0 53	CITIC Square	193 / 633	45	2000
40.0 54=	Huaneng Union Tower	188 / 617	38	1997
41.0 54=	CAAC Pudong Tower	188 / 617	38	2001
42.0 54=	Bao'an Tower	188 / 617	38	1997
43.0 57	Shanghai Futures Building	187 / 614	37	1998
44.0 58=	China Merchants Tower	186 / 610	38	1995
45.0 58=	Shanghai China Merchants Plaza Office Building	186 / 610	39	1998
46.0 60=	Aurora Plaza	185 / 607	37	2003
47.0 60=	Pudong Development Mansion	185 / 607	36	2001
48.0 62	Shanghai Yi Building	183 / 600	40	1995
48.0 63	Ciro's Plaza	181 / 594	39	2002
49.0 64=	Union Square II	180 / 591	35	2005
50.0 64=	Union Square I	180 / 591	35	2005
55.0 64=	Mirae Asset Tower	180 / 591	32	2008
55.0 64=	Silver Peak Tower	180 / 591	42	2001
51.0 64=	Pudong Shangri La Hotel Extension	180 / 591	43	2005
52.0 64=	Citigroup Tower	180 / 591	41	2005
53.0 64=	Shanghai Property Information Exchange Center	180 / 591	35	2000
53.0 64=	Hopson International Tower	180 / 591	33	2008
54.0 72=	Harbour Ring Plaza	178 / 584	36	1998
55.0 72=	K. Wah Center	178 / 584	39	2005
55.0 72=	Shanghai New World Centre	178 / 584	42	1998
55.0 75=	Lin Chong Hing Finance Center	177 / 581	39	2008
55.0 75=	CMBC Tower	177 / 581	39	2008
55.0 75=	Shanghai Expo Guest Hotel	177 / 581	40	2010
55.0 77	Liu Chong Hing Finance Center	174 / 571	42	2006
55.0 78	Shimao Riviera Garden 1	173 / 568	55	2000
56.0 79	Four Seasons Hotel	172 / 564	37	2002
55.0 80=	Ping'an Financial Center	170 / 558	38	2010
55.0 80=	Shanghai Grand Center	170 / 558	41	2011
