Group	Name	Nationality	4.00	Result
A	Yelena Isinbayeva	Russia	–	4.60
B	Vanessa Boslak	France	–	4.50
A	Gao Shuying	China	–	4.50
B	Fabiana Murer	Brazil	–	4.50
B	Jennifer Stuczynski	United States	–	4.50
A	Svetlana Feofanova	Russia	–	4.50
A	April Steiner Bennett	United States	–	4.50
A	Monika Pyrek	Poland	–	4.50
B	Anna Rogowska	Poland	–	4.50
B	Yuliya Golubchikova	Russia	–	4.50
A	Carolin Hingst	Germany	–	4.50
B	Silke Spiegelburg	Germany	–	4.50
A	Naroa Agirre	Spain	o	4.40
A	Anastasija Reiberger	Germany	–	4.40
B	Kate Dennison	Great Britain	xo	4.40
B	Alana Boyd	Australia	–	4.30
B	Roslinda Samsu	Malaysia	o	4.30
B	Kelsie Hendry	Canada	–	4.30
A	Joanna Piwowarska	Poland	xo	4.30
A	Afrodíti Skafída	Greece	–	4.30
A	Sandra-Helena Tavares	Portugal	o	4.30
B	Nicole Büchler	Switzerland	xxo	4.30
A	Marion Buisson	France	o	4.15
B	Thórey Edda Elisdóttir	Iceland	–	4.15
B	Zhou Yang	China	xo	4.15
B	Krisztina Molnár	Hungary	xxo	4.15
A	Natalya Kushch	Ukraine	–	4.15
B	Nikoléta Kiriakopoúlou	Greece	–	4.15
A	Li Ling	China	–	4.15
A	Yarisley Silva	Cuba	–	4.15
A	Alejandra García	Argentina	xxo	4.15
A	Leila Ben Youssef	Tunisia	xo	4.00
A	Vanessa Vandy	Finland	xo	4.00
B	Anna Fitídou	Cyprus	xxo	4.00
B	Kateřina Baďurová	Czech Republic	xxx	NM
B	Erica Bartolina	United States	–	NM
