Week	Craigs vote	Arlenes vote	Brunos vote	Lens vote	Safe	Eliminated
1	Brian and Karen	Kenny and Ola	Kenny and Ola	Kenny and Ola	Kenny and Ola	Brian and Karen
2	Letitia and Darren	Stephanie and Vincent	Letitia and Darren	Letitia and Darren	Letitia and Darren	Stephanie and Vincent
3	John and Nicole	John and Nicole	John and Nicole	N/A	John and Nicole	Willie and Erin
4	Gabby and James	Penny and Ian	Penny and Ian	Penny and Ian	Penny and Ian	Gabby and James
5	John and Nicole	John and Nicole	John and Nicole	N/A	John and Nicole	Dominic and Lilia
6	Matt and Flavia	Penny and Ian	Matt and Flavia	Matt and Flavia	Matt and Flavia	Penny and Ian
7	John and Nicole	John and Nicole	John and Nicole	N/A	John and Nicole	Kate and Anton
8	Kelly and Brendan	Kelly and Brendan	Kelly and Brendan	N/A	Kelly and Brendan	John and Nicole
9	Letitia and Darren	Letitia and Darren	Letitia and Darren	N/A	Letitia and Darren	Kenny and Ola
10	Alesha and Matthew	Alesha and Matthew	Alesha and Matthew	N/A	Alesha and Matthew	Letitia and Darren
