Year	Dates	Champion	Country	Score	To par	Margin of victory	Purse ( US$ )	Winners share
2012	Jul 26–29	Inbee Park	South Korea	71-64-70-66=271	–17	2 strokes	3250000	487500
2011	Jul 21–24	Ai Miyazato	Japan	68-68-67-70=273	–15	2 strokes	3250000	487500
2010	Jul 22–25	Jiyai Shin	South Korea	68-70-71-66=274	–14	1 stroke	3250000	487500
2009	Jul 23–26	Ai Miyazato	Japan	69-66-70-69=274	–14	Playoff	3250000	487500
2008	Jul 24–27	Helen Alfredsson	Sweden	72-63-71-67=273	–15	Playoff	3250000	487500
2007	Jul 26–29	Natalie Gulbis	United States	72-69-73-70=284	–4	Playoff	3000000	450000
2006	Jul 26–29	Karrie Webb	Australia	67-68-69-68=272	–16	1 stroke	3000000	450000
2005	Jul 20–23	Paula Creamer	United States	68-68-66-71=273	–15	8 strokes	2500000	375000
2004	Jul 21–24	Wendy Doolan	Australia	68-68-69-65=270	–18	1 stroke	2500000	375000
2003	Jul 23–26	Juli Inkster	United States	66-72-64-65=267	–21	6 strokes	2100000	315000
2002	Jun 12–15	Annika Sörenstam	Sweden	68-67-65-69=269	–19	4 strokes	2100000	315000
2001	Jun 13–16	Rachel Teske	Australia	71-68-66-68=273	–15	1 stroke	2100000	315000
