Pick #	Player	Position	Nationality	NHL team	College/junior/club team
1	Guy Lafleur	Centre	Canada	Montreal Canadiens	Quebec Remparts ( QMJHL )
2	Marcel Dionne	Centre	Canada	Detroit Red Wings	St. Catharines Black Hawks ( OHA )
3	Jocelyn Guevremont	Defence	Canada	Vancouver Canucks	Montreal Junior Canadiens (OHA)
4	Gene Carr	Centre	Canada	St. Louis Blues	Flin Flon Bombers ( WCHL )
5	Rick Martin	Left Wing	Canada	Buffalo Sabres	Montreal Junior Canadiens (OHA)
6	Ron Jones	Defence	Canada	Boston Bruins	Edmonton Oil Kings (WCHL)
7	Chuck Arnason	Right Wing	Canada	Montreal Canadiens	Flin Flon Bombers (WCHL)
8	Larry Wright	Centre	Canada	Philadelphia Flyers	Regina Pats (WCHL)
9	Pierre Plante	Right Wing	Canada	Philadelphia Flyers	Drummondville Rangers (QMJHL)
10	Steve Vickers	Left Wing	Canada	New York Rangers	Toronto Marlboros (OHA)
11	Murray Wilson	Left Wing	Canada	Montreal Canadiens	Ottawa 67's (OHA)
12	Dan Spring	Centre	Canada	Chicago Black Hawks	Edmonton Oil Kings (WCHL)
13	Steve Durbano	Defence	Canada	New York Rangers	Toronto Marlboros (OHA)
14	Terry O'Reilly	Right Wing	Canada	Boston Bruins	Oshawa Generals (OHA)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
