Date	Opponent	Score	Loss	Attendance	Record
March 31	Angels	3 - 2	Weaver (0-1)	49,596	1-0
April 1	Angels	9 - 1	Bonser (0-1)	24,586	1-1
April 2	Angels	1 - 0	Blackburn (0-1)	21,932	1-2
April 3	Angels	5 - 4	Slowey (0-1)	17,084	1-3
April 4	Royals	4 - 3	Bale (0-1)	21,847	2-3
April 5	Royals	6 - 4	Meche (0-1)	21,262	3-3
April 6	Royals	3 - 1	Bonser (0-2)	21,765	3-4
April 7	@ White Sox	7 - 4	Guerrier (0-1)	38,082	3-5
April 9	@ White Sox	12 - 5	Danks (0-1)	16,499	4-5
April 10	@ White Sox	Postponed (rain) Rescheduled for June 9	Postponed (rain) Rescheduled for June 9	Postponed (rain) Rescheduled for June 9	Postponed (rain) Rescheduled for June 9
April 11	@ Royals	5 - 0	Meche (0-2)	16,691	5-5
April 12	@ Royals	2 - 0	Tomko (1-1)	36,300	6-5
April 13	@ Royals	5 - 1	Liriano (0-1)	13,886	6-6
April 14	@ Tigers	11 - 9	Neshek (0-1)	32,002	6-7
April 15	@ Tigers	6 - 5	Crain (0-1)	30,901	6-8
April 16	Rays	6 - 5	Wheeler (0-2)	20,209	7-8
April 17	Rays	7 - 3	Bonser (1-3)	14,781	7-9
April 18	Indians	4 - 0	Liriano (0-2)	22,366	7-10
April 19	Indians	3 - 0	Westbrook (1-2)	34,210	8-10
April 20	Indians	2 - 1 (10)	Pérez (0-1)	27,703	9-10
April 22	@ Athletics	5 - 4	Blanton (1-4)	10,267	10-10
April 23	@ Athletics	3 - 0	Bonser (1-4)	15,242	10-11
April 24	@ Athletics	11 - 2	Liriano (0-3)	12,593	10-12
April 25	@ Rangers	6 - 5 (10)	Rincón (2-1)	19,016	10-13
April 26	@ Rangers	12 - 6	Wright (1-1)	33,053	11-13
April 27	@ Rangers	10 - 0	Hernández (3-1)	19,911	11-14
April 29	White Sox	3 - 1	Floyd (2-1)	20,891	12-14
April 30	White Sox	4 - 3	Wassermann (0-1)	19,137	13-14
