State	Type	Name	Title	Royal house	From
Cai	Sovereign	Yi	Marquis	Ji	837 BC
Cao	Sovereign	You	Count	—	835 BC
Cao	Sovereign	Dai	Count	—	826 BC
Chen	Sovereign	Li	Duke	—	831 BC
Chu	Sovereign	Xiong Yan the younger	Viscount	Mi	837 BC
Chu	Sovereign	Xiong Shuang	Viscount	Mi	827 BC
Chu	Sovereign	Xiong Xun	Viscount	Mi	821 BC
Jin	Sovereign	Xi	Marquis	Ji	840 BC
Jin	Sovereign	Xian	Marquis	Ji	822 BC
Lu	Sovereign	Shen	Duke	Ji	854 BC
Lu	Sovereign	Wu	Duke	Ji	825 BC
Qi	Sovereign	Wu	Duke	Jiang	850 BC
Qi	Sovereign	Li	Duke	Jiang	824 BC
Qin	Sovereign	Qin Zhong	Ruler	Ying	845 BC
Qin	Sovereign	Zhuang	Duke	Ying	822 BC
Song	Sovereign	Hui	Duke	—	830 BC
Wey	Sovereign	Li	Marquis	—	855 BC
Yan	Sovereign	Hui	Marquis	—	864 BC
Yan	Sovereign	Li	Marquis	—	826 BC
