Date	Opponent	Score	Loss	Attendance	Record
April 1	@ Diamondbacks	6–0	Blair (0–1)	43,758	2–0
April 2	@ Diamondbacks	6–4	Anderson (0–1)	42,876	3–0
April 3	@ Astros	15–2	Wright (0–1)	26,026	3–1
April 4	@ Astros	5–3	Bergman (0–1)	21,325	4–1
April 5	@ Astros	6–2	Kile (1–1)	21,037	4–2
April 6	@ Astros	13–4	Thomson (1–1)	13,553	4–3
April 7	Cardinals	12–11	Astacio (1–1)	48,016	4–4
April 8	Cardinals	13–9	Wright (0–2)	48,020	4–5
April 9	Cardinals	7–5	Leskanic (0–1)	46,579	4–6
April 10	Reds	18–7	Kile (1–2)	48,013	4–7
April 11	Reds	12–5	Thomson (1–2)	48,053	4–8
April 12	Reds	10–4	Astacio (1–2)	46,921	4–9
April 13	Reds	8–4	Belinda (0–1)	44,488	5–9
April 14	Dodgers	6–3	Valdez (1–2)	44,337	6–9
April 16	Dodgers	4–3 (10)	DiPoto (0–1)	38,429	6–10
April 18	Braves	11–4	Astacio (1–3)	48,058	6–11
April 19	Braves	5–3	Thompson (1–1)	48,038	6–12
April 19	Braves	10–7	Martínez (1–2)	43,977	7–12
April 20	Braves	7–5	Kile (1–3)	43,594	7–13
April 22	@ Marlins	3–2	Leskanic (1–2)	16,405	7–14
April 23	@ Marlins	4–3	Stanifer (0–1)	15,098	8–14
April 24	@ Marlins	5–1	Thompson (1–2)	21,708	8–15
April 25	@ Braves	11–7	Millwood (3–1)	49,161	9–15
April 26	@ Braves	7–6	Maddux (2–2)	42,400	10–15
April 27	Marlins	5–4 (10)	Leskanic (1–3)	48,048	10–16
April 28	Marlins	8–7	Larkin (1–1)	47,346	11–16
April 30	@ Mets	4–0	Jones (1–3)	12,599	12–16
