Rank	Title	Studio	Director(s)	Gross
1.	Terminator 2: Judgment Day	Carolco / TriStar / Lightstorm	James Cameron	$519,843,345
2.	Beauty and the Beast	Disney	Gary Trousdale and Kirk Wise	$424,967,620
3.	Robin Hood: Prince of Thieves	Warner Bros.	Kevin Reynolds	$390,493,908
4.	Hook	TriStar / Amblin	Steven Spielberg	$300,854,823
5.	The Silence of the Lambs	Orion	Jonathan Demme	$272,742,922
6.	JFK	Warner Bros.	Oliver Stone	$205,405,498
7.	The Addams Family	Paramount / Orion	Barry Sonnenfeld	$191,502,426
8.	Cape Fear	Universal	Martin Scorsese	$182,291,969
9.	Hot Shots!	20th Century Fox	Jim Abrahams	$181,096,164
10.	City Slickers	Columbia / Castle Rock	Ron Underwood	$179,033,791
11.	Sleeping with the Enemy	20th Century Fox	Joseph Ruben	$174,999,005
12.	Backdraft	Universal / Image	Ron Howard	$152,368,585
13.	Fried Green Tomatoes	Universal	Jon Avnet	$119,418,501
14.	Star Trek VI: The Undiscovered Country	Paramount	Nicholas Meyer	$96,888,996
15.	Point Break	20th Century Fox	Kathryn Bigelow	$83,531,958
16.	Dying Young	20th Century Fox	Joel Schumacher	$82,264,675
17.	The Hard Way	Universal	John Badham	$65,595,485
18.	King Ralph	Universal	David S. Ward	$52,487,045
19.	Jungle Fever	Universal	Spike Lee	$43,882,682
20.	Grand Canyon	20th Century Fox	Lawrence Kasdan	$40,991,329
