Series Number	Number of Episodes	Original Air Date	DVD Region 2 release date	DVD Region 1 release date
1	6	1973	2 September 2002	TBA
2	7	1975	2 September 2002	TBA
3	7	1976	26 July 2004	11 March 2008
4	7	1977	26 July 2004	9 September 2008
5	7	1979	5 March 2007	6 September 2009
6	7	1982	5 March 2007	27 April 2010
7	6	1983	3 March 2008	27 April 2010
8	6	1985	3 March 2008	9 July 2010
9	12	1987	5 May 2008*	18 January 2011
10	6	1988	22 September 2008	12 April 2011
11	7	1989	22 September 2008	12 April 2011
12	10	1990	26 December 2008	12 July 2011
13	6	1991	26 December 2008	21 February 2012
14	9	1992	26 October 2009	17 April 2012
15	9	1993	26 October 2009	24 July 2012
16	8	1995	27 December 2010	TBA
17	10	1995	27 December 2010	15 June 2004
18	10	1997	7 February 2011	15 January 2013
19	10	1998	7 February 2011	16 April 2013
20	10	1999	26 March 2012	9 July 2013
21	10	2000	26 March 2012	15 October 2013
22	10	2001	23 April 2012	14 January 2014
23	10	2002	23 April 2012	TBA
24	10	2003	TBA	TBA
25	10	2004	TBA	TBA
26	10	2005	TBA	TBA
27	9	2006	TBA	TBA
28	10	2007	TBA	TBA
29	11	2008	TBA	TBA
30	10	2009	TBA	TBA
31	6	2010	TBA	TBA
