Period	Manufacturer	Shirt main sponsor	Shirt back sponsor	Shorts sponsor	Sleeves sponsor
1976–82	Adidas	—	—	—	—
1982–83	Adidas	Citizen	—	—	—
1983–85	Zita Hellas	Nissan	—	—	—
1985–89	Zita Hellas	Ethniki Asfalistiki	—	—	—
1989–92	Diadora	Ethniki Asfalistiki	—	—	—
1992–93	Diadora	Phoenix Asfaleies	—	—	—
1993–95	Basic	Phoenix Asfaleies	—	—	—
1995–96	Kappa	Ethniki Asfalistiki	—	—	—
1995–96	Kappa	Filmnet	—	—	—
1996–98	Kappa	Geniki Bank	—	—	—
1998-99	Kappa	Firestone	—	—	—
1999–00	Kappa	Marfin	—	—	—
2000–01	Nike	Marfin	Samsung	Samsung	—
2001–02	Nike	Alpha Digital	—	—	—
2002–03	Nike	Piraeus Bank	—	—	—
2003–04	Nike	Piraeus Bank	Telestet	Telestet	—
2003–04	Nike	Piraeus Bank	TIM	TIM	—
2004–05	Nike	TIM	—	—	—
2004–05	Adidas	TIM	—	—	—
2005–06	Adidas	TIM	Diners Club	Galaxias Asfalistiki	—
2006–07	Adidas	LG Corp	Diners Club	Forthnet	—
2007–08	Puma	LG Corp	Diners Club	Forthnet	Chevrolet
2008–09	Puma	LG Corp	Diners Club	—	Chevrolet
2009–10	Puma	Diners Club	—	—	—
2010–13	Puma	Kino	International Service Oil	—	—
