Heat	Lane	Name	Country	Mark
1	6	Dwain Chambers	United Kingdom	6.69
1	2	Isaac Uche	Nigeria	6.74
1	1	Ihor Bodrov	Ukraine	6.76
1	5	Amr Ibrahim Mostafa Seoud	Egypt	6.78 NR
1	3	Gibrilla Pato Bangura	Sierra Leone	6.89
1	7	Khalil Al-Hanahneh	Jordan	7.14
1	8	Aisea Tohi	Tonga	7.24 PB
1	4	Reginaldo Micha Ndong	Equatorial Guinea	7.72 PB
2	5	Leroy Dixon	United States	6.64
2	3	Francis Obikwelu	Portugal	6.70
2	2	Fabio Cerutti	Italy	6.73
2	7	Kael Becerra	Chile	6.75
2	8	Danny D'Souza	Seychelles	7.02 NR
2	4	Moudjib Toyb	Comoros	7.03
2	6	Michael Alicto	Guam	7.27 PB
2	1	Federico Gorrieri	San Marino	7.49 SB
3	3	Kim Collins	Saint Kitts and Nevis	6.70
3	5	Andrey Yepishin	Russia	6.76
3	8	José Varlos Moreira	Brazil	6.79
3	2	Seth Amoo	Ghana	6.88
3	1	Seng Song Poh	Singapore	6.93 SB
3	6	Sébastien Gattuso	Monaco	6.94 NR
3	7	Taufik Rahmadi	Indonesia	6.97 PB
3	4	Tavita Solomona	Samoa	7.35 PB
4	7	Simone Collio	Italy	6.71
4	1	Martial Mbandjock	France	6.72
4	8	Dmytro Hlushchenko	Ukraine	6.77
4	2	Adrian Durant	United States Virgin Islands	6.78
4	5	Omar Jouma Bilal Al-Salfa	United Arab Emirates	6.88
4	3	Jack Howard	Federated States of Micronesia	7.13 SB
4	4	Abraham Kepsen	Vanuatu	7.44 PB
4	6	Kermeliss Olonghot	Republic of the Congo	DNS
5	7	Olusoji Fasuba	Nigeria	6.64
5	8	Brendan Christian	Antigua and Barbuda	6.67
5	2	Henry Vizcaino	Cuba	6.70
5	5	Chun Wai Leung	Hong Kong	6.97
5	4	Idrissa Sanou	Burkina Faso	7.03
5	3	Aleksandr Abrahamyan	Armenia	7.38 PB
5	6	Dylab Menzies	Norfolk Island	7.42 SB
6	5	Simeon Williamson	United Kingdom	6.69
6	2	Marius Broening	Germany	6.74
6	1	Maarten Heisen	Netherlands	6.77
6	4	Ramil Guliyev	Azerbaijan	6.84
6	6	Darren Gilford	Malta	6.99 SB
6	7	Hin Fong Pao	Macau	7.07 SB
6	3	Rabangaki Nawai	Kiribati	7.26 PB
6	8	Leon Mengloi	Palau	7.51 PB
7	4	Yhann Plummer	Jamaica	6.64 PB
7	8	Vicente de Lima	Brazil	6.71
7	5	Alex Trembach	Israel	6.93
7	2	Adrian Ferreira	Paraguay	7.19 PB
7	3	Kilakone Siphonexay	Laos	7.41 PB
7	7	Daniel Bailey	Antigua and Barbuda	DSQ
7	6	Ben Youssef Meité	Ivory Coast	DNS
7	1	Sompote Suwannarangsri	Thailand	DNS
8	8	Michael Rodgers	United States	6.62
8	6	Ángel David Rodríguez	Spain	6.69
8	5	Rolando Palacios	Honduras	6.83
8	4	Jared Lewis	Saint Vincent and the Grenadines	6.89
8	2	Lerone Clarke	Jamaica	6.89
8	3	Francis Manioru	Solomon Islands	7.22 SB
8	7	Shahriful Bahrin Zainal	Brunei	7.44 NR
