Game	Date	Opponent	Score	Record
50	2/2/1980	Chicago Blackhawks	4-5	21-25-4
51	2/3/1980	at Chicago Blackhawks	2 - 4	21-26-4
52	2/7/1980	at Boston Bruins	6 - 8	21-27-4
53	2/9/1980	Los Angeles Kings	2 - 7	21-28-4
54	2/10/1980	at Detroit Red Wings	4 - 1	22-28-4
55	2/13/1980	Pittsburgh Penguins	2 - 4	22-29-4
56	2/16/1980	Hartford Whalers	5 - 3	23-29-4
57	2/17/1980	at New York Rangers	6 - 4	24-29-4
58	2/19/1980	at New York Islanders	6 - 4	25-29-4
59	2/20/1980	at Chicago Blackhawks	2 - 4	25-30-4
60	2/23/1980	at Winnipeg Jets	9 - 3	26-30-4
61	2/26/1980	at St. Louis Blues	2 – 5	26-31-4
62	2/27/1980	at Colorado Rockies	4 - 3	27-31-4
