Round	Pick	Player	Position	Nationality	School/Club Team
1	7	John Johnson	Forward	United States	California
2	26	Dave Sorenson	Forward	United States	Ohio State
3	41	Surry Oliver	Guard	United States	Stephen F. Austin
4	60	Glen Vidnovic	Forward	United States	Iowa
5	75	Wayne Sokolowski	Forward	United States	Ashland
6	94	Joe Cooke	Guard	United States	Indiana
7	109	Narvis Anderson	Forward	United States	Stephen F. Austin
8	128	Walt Robertson	Forward	United States	Loyola University Chicago
9	143	Tom Lagodich	Guard	United States	Kent State
10	162	Ken Johnson	Forward	United States	Indiana
