Number	Name	Vertices	Hypotenuse 0 c	Vertical 0 b	Horizontal 0 a
1	通 TONG	天地乾 ΔTLQ	通弦（TL天地）	通股（TQ天乾）	通勾（LQ地乾）
2	边 BIAN	天西川 ΔTWB	边弦（TB天川）	边股（TW天西）	边勾（WB西川）
3	底 DI	日地北 ΔRDN	底弦（RL日地）	底股（RN日北）	底勾（LB地北）
4	黄广 HUANGGUANG	天山金 ΔTMJ	黄广弦（TM天山）	黄广股（TJ天金）	黄广勾（MJ山金）
5	黄长 HUANGCHANG	月地泉 ΔYLS	黄长弦（YL月地）	黄长股（YS月泉）	黄长勾（LS地泉）
6	上高 SHANGGAO	天日旦 ΔTRD	上高弦（TR天日）	上高股（TD天旦）	上高勾（RD日旦）
7	下高 XIAGAO	日山朱 ΔRMZ	下高弦（RM日山）	下高股（RZ日朱）	下高勾（MZ山朱）
8	上平 SHANGPING	月川青 ΔYSG	上平弦（YS月川）	上平股（YG月青）	上平勾（SG川青）
9	下平 XIAPING	川地夕 ΔBLJ	下平弦（BL川地）	下平股（BJ川夕）	下平勾（LJ地夕）
10	大差 DACHA	天月坤 ΔTYK	大差弦（TY天月）	大差股（TK天坤）	大差勾（YK月坤）
11	小差 XIAOCHA	山地艮 ΔMLH	小差弦（ML山地）	小差股（MH山艮）	小差勾（LH地艮）
12	皇极 HUANGJI	日川心 ΔRSC	皇极弦（RS日川）	皇极股（RC日心）	皇极勾（SC川心）
13	太虚 TAIXU	月山泛 ΔYMF	太虚弦（YM月山）	太虚股（YF月泛）	太虚勾（MF山泛）
14	明 MING	日月南 ΔRYS	明弦（RY日月）	明股（RS日南）	明勾（YS月南）
