Team	Recopa 1995	Supercopa 1995	CONMEBOL 1995	Copa Libertadores 1996
River Plate	N/A	SF	N/A	Champions
Rosario Central	N/A	N/A	Champions	did not qualify
Independiente	Runner up	Champions	did not qualify	did not qualify
San Lorenzo	N/A	N/A	N/A	QF
Gimnasia La Plata	N/A	N/A	Round 1	did not qualify
Argentinos Juniors	N/A	Round 1	did not qualify	did not qualify
Boca Juniors	N/A	Round 1	did not qualify	did not qualify
Estudiantes	N/A	Round 1	did not qualify	did not qualify
Racing Club	N/A	Round 1	did not qualify	did not qualify
Vélez Sársfield	N/A	Round 1	did not qualify	did not qualify
