Name	Height	Weight	Spike	2013 club
Senna Ušić-Jogunica Category:Articles with hCards	m ()	kg (lb)	cm (in)	Eczacıbaşı VitrA
Ana Grbac Category:Articles with hCards	m ()	kg (lb)	cm (in)	Unattached
Mira Topić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Schweriner SC
Bernarda Ćutuk Category:Articles with hCards	m ()	kg (lb)	cm (in)	ŽOK Rijeka
Mia Jerkov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Bursa B.B. Women's Volleyball
Ivana Miloš Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lokomotiv Baku
Sanja Popović Category:Articles with hCards (C)	m ()	kg (lb)	cm (in)	WVC Dynamo Moscow
Samanta Fabris Category:Articles with hCards	m ()	kg (lb)	cm (in)	Chieri Torino Volley Club
Bernarda Brčić Category:Articles with hCards	m ()	kg (lb)	cm (in)	ŽOK Rijeka
Martina Malević Category:Articles with hCards (L)	m ()	kg (lb)	cm (in)	HAOK Mladost
Jelena Alajbeg Category:Articles with hCards	m ()	kg (lb)	cm (in)	Voléro Zürich
Maja Poljak Category:Articles with hCards	m ()	kg (lb)	cm (in)	Eczacıbaşı VitrA
