Player	Team	Last Game	Date	Opposition	Début
Jimmy Doyle	Tipperary	Munster quarter-final	May 20	Waterford	1957
Mick Culligan	Clare	Munster semi-final	June 24	Limerick	1973
Mick Kilmartin	Clare	Munster semi-final	June 24	Limerick	1971
Michael O'Connor	Clare	Munster semi-final	June 24	Limerick	1973
Tim Ryan	Clare	Munster semi-final	June 24	Limerick	1973
Jimmy Crampton	Tipperary	July 29	Munster final	Waterford	1973
Len Gaynor	Tipperary	July 29	Munster final	Waterford	1973
Christy Jacob	Wexford	Leinster final	August 5	Kilkenny	1966
Éamonn Morrissey	Kilkenny	Leinster final	August 5	Wexford	1972
Martin Coogan	Kilkenny	All-Ireland final	September 2	Limerick	1961
John Kinsella	Kilkenny	All-Ireland final	September 2	Limerick	1967
