Draw	Language	Artist	Song	English translation	Place	Points
01	Italian	Anna Oxa & Fausto Leali	" Avrei voluto "	I would've wanted	9	56
02	Hebrew	Gili and Galit	" Derekh Hamelekh " (דרך המלך)	The king's road	12	50
03	English	Kiev Connolly & The Missing Passengers	" The Real Me "	—	18	21
04	Dutch	Justine Pelmelay	" Blijf zoals je bent "	Stay the way you are	15	45
05	Turkish	Pan	" Bana Bana "	To me, to me	21	5
06	Dutch	Ingeborg	" Door de wind "	Through the wind	19	13
07	English	Live Report	" Why Do I Always Get it Wrong? "	—	2	130
08	Norwegian	Britt Synnøve Johansen	" Venners nærhet "	The closeness of friends	17	30
09	Portuguese	Da Vinci	" Conquistador "	Conqueror	16	39
10	Swedish	Tommy Nilsson	" En dag "	One Day	4	110
11	French	Park Café	" Monsieur "	Mister	20	8
12	Danish	Birthe Kjær	" Vi maler byen rød "	We're painting the town red	3	111
13	German	Thomas Forstner	" Nur ein Lied "	Just a song	5	97
14	Finnish	Anneli Saaristo	" La dolce vita "	The good life	7	76
15	French	Nathalie Pâque	" J'ai volé la vie "	I stole life	8	60
16	Spanish	Nina	" Nacida para amar "	Born to love	6	88
17	Greek	Fani Polymeri & Yiannis Savvidakis	" Apopse As Vrethoume " (Απόψε ας βρεθούμε)	Let's meet tonight	11	51
18	Romansh	Furbaz	" Viver senza tei "	To live without you	13	47
19	Greek	Mariana Efstratiou	" To Dhiko Su Asteri " (Το δικό σου αστέρι)	Your own star	9	56
20	Icelandic	Daníel Ágúst Haraldsson	" Það sem enginn sér "	What no one sees	22	0
21	German	Nino de Angelo	" Flieger "	Flyers	14	46
22	Croatian	Riva	" Rock Me "	—	1	137
