Rank	Nation	Gold	Silver	Bronze	Total
1	China (CHN)	9	2	3	14
2	Egypt (EGY)	4	3	3	10
3	Nigeria (NGR)	2	3	1	6
4	Iran (IRI)	2	2	1	5
5	Mexico (MEX)	1	0	2	3
6	Chinese Taipei (TPE)	1	0	0	1
6	Ukraine (UKR)	1	0	0	1
8	Russia (RUS)	0	4	0	4
9	Iraq (IRQ)	0	1	1	2
9	Jordan (JOR)	0	1	1	2
9	Poland (POL)	0	1	1	2
12	Australia (AUS)	0	1	0	1
12	Greece (GRE)	0	1	0	1
12	United Arab Emirates (UAE)	0	1	0	1
15	Thailand (THA)	0	0	2	2
16	France (FRA)	0	0	1	1
16	Laos (LAO)	0	0	1	1
16	Malaysia (MAS)	0	0	1	1
16	South Korea (KOR)	0	0	1	1
16	Syria (SYR)	0	0	1	1
Total	Total	20	20	20	60
