Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	19-9-4	Naoyuki Kotani	Submission (armbar)	Pancrase - Impressive Tour 9	1	1:44	Tokyo , Japan
Loss	19-8-4	Kota Okazawa	KO (punch)	Pancrase - Impressive Tour 4	1	2:42	Tokyo , Japan
Win	19-7-4	Katsuhiko Nagata	Decision (unanimous)	GCM - Cage Force 17	3	5:00	Tokyo , Japan
Loss	18-7-4	Maximo Blanco	TKO (strikes)	Pancrase	2	4:38	Japan
Draw	18-6-4	Mizuto Hirota	Draw	GCM - Cage Force EX	3	5:00	Saitama , Japan
Win	17-6-3	Koji Oishi	Decision (unanimous)	Pancrase - Changing Tour 1	3	5:00	Tokyo , Japan
Win	18-6-3	Daisuke Hanazawa	Decision (unanimous)	Pancrase - Shining 10	3	5:00	Tokyo , Japan
Loss	16-6-3	Nick Diaz	TKO (corner stoppage)	DREAM.3	1	6:45	Saitama , Japan
Draw	16-5-3	Djamal Kurbanov	Draw	Pancrase - Shining 3	3	5:00	Tokyo , Japan
Win	16-5-2	Satoru Kitaoka	Decision (split)	Pancrase - Shining 1	3	5:00	Tokyo , Japan
Draw	15-5-2	Shigetoshi Iwase	Draw	Kingdom of Grapple - Live 2007	3	5:00	Tokyo , Japan
Win	15-5-1	Fabricio Nascimento	TKO (punches)	Pancrase - 2007 Neo-Blood Tournament Finals	2	2:33	Tokyo , Japan
Win	14-5-1	Koji Oishi	KO (punches)	Pancrase - Rising 5	2	2:45	Tokyo , Japan
x Loss	13-5-1	Yoshiyuki Yoshida	KO (punch)	GCM - Cage Force 2	1	1:45	Tokyo , Japan
Win	13-4-1	Takefume Hanai	TKO (punches)	GCM - Cage Force 1	2	3:29	Tokyo , Japan
x Loss	12-4-1	Daizo Ishige	Decision (unanimous)	Pancrase – Blow 6	3	5:00	Yokohama , Japan
Win	12-3-1	Kim Haeng Ki	TKO (punches)	MARS World Grand Prix	3	4:20	Chiba , Japan
Draw	11-3-1	Satoru Kitaoka	Draw	Pancrase – Blow 1	3	5:00	Tokyo , Japan
Win	11-3	Daisuke Hanazawa	Decision (majority)	GCM – D.O.G. 4	3	5:00	Tokyo , Japan
x Loss	10-3	Akira Kikuchi	TKO (punches)	Hero's 2	1	1:41	Tokyo , Japan
Win	10-2	Kenji Arai	KO (punch)	Pancrase – Spiral 4	2	4:30	Kanagawa Prefecture , Japan
Win	9-2	Heath Sims	TKO (punches)	Pancrase – Spiral 1	1	4:40	Tokyo , Japan
Win	8-2	Kyle Noke	Decision (split)	Warriors Realm 2	3	5:00	Australia
Win	7-2	Satoru Kitaoka	Decision (unanimous)	Pancrase – Brave 10	3	5:00	Chiba , Japan
Win	6-2	Takuya Wada	Decision (unanimous)	Pancrase – Brave 8	3	5:00	Tokyo , Japan
Win	5-2	Hikaru Sato	TKO (punches)	Pancrase – Brave 6	1	3:53	Tokyo , Japan
Win	4-2	Ichiro Kanai	Decision (majority)	Pancrase – Brave 4	2	5:00	Tokyo , Japan
x Loss	3-2	Eiji Ishikawa	Decision (majority)	Pancrase – Brave 1	2	5:00	Tokyo , Japan
Win	3-1	Taro Minato	Decision (unanimous)	GCM – Demolition 12	2	5:00	Japan
Win	2-1	Ichiro Kanai	Decision (unanimous)	GCM – Demolition 7	2	5:00	Japan
Win	1-1	Motohiro Tachihara	Decision (unanimous)	GCM – Demolition 5	2	5:00	Japan
x Loss	0-1	Yoshinori Oniki	TKO (strikes)	GCM – Demolition 4	1	1:09	Japan
