No. in series	Title	Directed by	Written by	Original air date	Production code
0	"Unaired Pilot"	Dave Filoni	Michael Dante DiMartino & Bryan Konietzko	Unaired	100
1	"The Boy in the Iceberg"	Dave Filoni	Michael Dante DiMartino & Bryan Konietzko	February21,2005	101
2	"The Avatar Returns"	Dave Filoni	Michael Dante DiMartino & Bryan Konietzko	February21,2005	102
3	"The Southern Air Temple"	Lauren MacMullan	Michael Dante DiMartino	February25,2005	103
4	"The Warriors of Kyoshi"	Giancarlo Volpe	Nick Malis	March4,2005	104
5	"The King of Omashu"	Anthony Lioi	John O'Bryan	March18,2005	105
6	"Imprisoned"	Dave Filoni	Matthew Hubbard	March25,2005	106
7	"The Spirit World (Winter Solstice, Part 1)"	Lauren MacMullan	Aaron Ehasz	April8,2005	107
8	"Avatar Roku (Winter Solstice, Part 2)"	Giancarlo Volpe	Michael Dante DiMartino	April15,2005	108
9	"The Waterbending Scroll"	Anthony Lioi	John O'Bryan	April29,2005	109
10	"Jet"	Dave Filoni	James Eagan	May6,2005	110
11	"The Great Divide"	Giancarlo Volpe	John O'Bryan	May20,2005	111
12	"The Storm"	Lauren MacMullan	Aaron Ehasz	June3,2005	112
13	"The Blue Spirit"	Dave Filoni	Michael Dante DiMartino & Bryan Konietzko	June17,2005	113
14	"The Fortuneteller"	Dave Filoni	Aaron Ehasz & John O'Bryan	September23,2005	114
15	"Bato of the Water Tribe"	Giancarlo Volpe	Ian Wilcox	October7,2005	115
16	"The Deserter"	Lauren MacMullan	Tim Hedrick	October21,2005	116
17	"The Northern Air Temple"	Dave Filoni	Elizabeth Welch Ehasz	November4,2005	117
18	"The Waterbending Master"	Giancarlo Volpe	Michael Dante DiMartino	November18,2005	118
19	"The Siege of the North, Part 1"	Dave Filoni	Aaron Ehasz	December2,2005	119
