Game	January	Opponent	Score	Record	Points
37	3	@ San Jose Sharks	1–3	12–18–7	31
38	4	@ Los Angeles Kings	3–7	12–19–7	31
39	7	Buffalo Sabres	5–5 OT	12–19–8	32
40	9	Los Angeles Kings	5–2	13–19–8	34
41	11	@ Boston Bruins	1–5	13–20–8	34
42	12	New York Islanders	4–3	14–20–8	36
43	14	Chicago Blackhawks	1–1 OT	14–20–9	37
44	16	@ New York Islanders	3–4	14–21–9	37
45	21	@ Detroit Red Wings	3–7	14–22–9	37
46	23	Winnipeg Jets	0–1	14–23–9	37
47	25	@ Toronto Maple Leafs	4–6	14–24–9	37
48	28	Washington Capitals	3–2	15–24–9	39
49	30	Minnesota North Stars	5–3	16–24–9	41
