Series no.	Season no.	Title	Directed by	Written by	Original air date	Production Code
38	1	"A House Is Not a Home"	Tyler Perry	Michelle L. Johnson	December5,2007	201
39	2	"Home Alone"	Tyler Perry	Teri Jackson	December5,2007	202
40	3	"The Wench Who Saved Christmas"	Tyler Perry	Jenee V. Giles	December5,2007	203
41	4	"Trial By Fire: Part 1"	Tyler Perry	Steve Coulter & Dee Wagner	December5,2007	204
42	5	"Trial By Fire: Part 2"	Tyler Perry	Joseph Hampton & Dani Renee	December12,2007	205
43	6	"Trial By Fire: Part 3"	Tyler Perry	Joseph Hampton & Dani Renee	December12,2007	206
44	7	"Crazy In Love"	Tyler Perry	Michelle L. Johnson	December12,2007	207
45	8	"Reality Check"	Tyler Perry	Joseph Hampton & Christopher J. Moore	December12,2007	208
46	9	"Piece Of Mind"	Tyler Perry	Brandon Broussard & Dani Renee	December19,2007	209
47	10	"There's No Place Like Home"	Tyler Perry	Teri Jackson	December19,2007	210
48	11	"Mommie Dearest"	Tyler Perry	Kellie R. Griffin	December26,2007	211
49	12	"You Big Dummy"	Tyler Perry	Lamont Ferrell	December26,2007	212
50	13	"It's A Boy"	Tyler Perry	Joseph Hampton	January2,2008	213
51	14	"Aches and Paynes"	Tyler Perry	Brandon Broussard	January2,2008	214
52	15	"The Big Bang Theory"	Tyler Perry	Christopher J. Moore	January9,2008	215
53	16	"Step It Up"	Tyler Perry	Jenee V. Giles & Christopher J. Moore	January9,2008	216
54	17	"No Pain, No Gain"	Tyler Perry	Steve Coulter & Dee Wagner	January16,2008	217
55	18	"Devil in a Blue Suit"	Tyler Perry	Jenee V. Giles	January16,2008	218
56	19	"Bad Influence"	Tyler Perry	Teri Jackson	January23,2008	219
57	20	"Play On Playa"	Tyler Perry	Shontell R. McClain	January23,2008	220
58	21	"It's Getting Hot in Here"	Tyler Perry	Myra J.	January30,2008	221
59	22	"Don't Get It Twisted"	Tyler Perry	Kellie R. Griffin	January30,2008	222
